Country Code,Country,Date,Food_Price_Index
CHN,China,1993-04-01,29.7
COL,Colombia,1993-04-01,12.8
CZE,Czech Republic,1993-04-01,52.9
DEU,Germany,1993-04-01,73.5
DNK,Denmark,1993-04-01,62.8
ESP,Spain,1993-04-01,55.2
FIN,Finland,1993-04-01,76.2
FRA,France,1993-04-01,71.2
GBR,United Kingdom,1993-04-01,61.1
GRC,Greece,1993-04-01,47.2
HKG,"Hong Kong SAR, China",1993-04-01,45.9
HUN,Hungary,1993-04-01,15.9
IRL,Ireland,1993-04-01,73.6
ISL,Iceland,1993-04-01,43.4
ISR,Israel,1993-04-01,40.3
ITA,Italy,1993-04-01,60.6
JPN,Japan,1993-04-01,92.1
KOR,"Korea, Rep.",1993-04-01,38.2
LTU,Lithuania,1993-04-01,22.7
LUX,Luxembourg,1993-04-01,61.3
LVA,Latvia,1993-04-01,26.2
MEX,Mexico,1993-04-01,12.6
NLD,Netherlands,1993-04-01,74.0
NOR,Norway,1993-04-01,66.5
NZL,New Zealand,1993-04-01,62.2
PRT,Portugal,1993-04-01,67.1
ROU,Romania,1993-04-01,1.005
SGP,Singapore,1993-04-01,60.598
SVK,Slovakia,1993-04-01,39.8
SWE,Sweden,1993-04-01,77.8
THA,Thailand,1993-04-01,35.0
TTO,Trinidad and Tobago,1993-04-01,5.2
TUR,Turkey,1993-04-01,0.2
TWN,"Taiwan, China",1993-04-01,54.07
USA,United States,1993-04-01,57.7
ZAF,South Africa,1993-04-01,20.2
ARM,Armenia,1993-07-01,0.1
AUS,Australia,1993-07-01,53.8
AUT,Austria,1993-07-01,67.3
BEL,Belgium,1993-07-01,63.1
CAN,Canada,1993-07-01,60.2
CHE,Switzerland,1993-07-01,91.6
CHN,China,1993-07-01,29.5
COL,Colombia,1993-07-01,13.3
CZE,Czech Republic,1993-07-01,52.1
DEU,Germany,1993-07-01,72.9
DNK,Denmark,1993-07-01,62.8
ESP,Spain,1993-07-01,55.9
FIN,Finland,1993-07-01,75.7
FRA,France,1993-07-01,70.3
GBR,United Kingdom,1993-07-01,61.0
GRC,Greece,1993-07-01,46.4
HKG,"Hong Kong SAR, China",1993-07-01,46.4
HUN,Hungary,1993-07-01,16.2
IRL,Ireland,1993-07-01,75.2
ISL,Iceland,1993-07-01,43.1
ISR,Israel,1993-07-01,40.7
ITA,Italy,1993-07-01,61.0
JPN,Japan,1993-07-01,94.2
KOR,"Korea, Rep.",1993-07-01,38.9
LTU,Lithuania,1993-07-01,23.2
LUX,Luxembourg,1993-07-01,61.3
LVA,Latvia,1993-07-01,25.4
MEX,Mexico,1993-07-01,12.7
NLD,Netherlands,1993-07-01,73.9
NOR,Norway,1993-07-01,66.8
NZL,New Zealand,1993-07-01,62.8
PRT,Portugal,1993-07-01,67.9
ROU,Romania,1993-07-01,1.425
SGP,Singapore,1993-07-01,60.679
SVK,Slovakia,1993-07-01,41.7
SWE,Sweden,1993-07-01,77.5
THA,Thailand,1993-07-01,35.5
TTO,Trinidad and Tobago,1993-07-01,5.6
TUR,Turkey,1993-07-01,0.2
TWN,"Taiwan, China",1993-07-01,52.8
USA,United States,1993-07-01,57.5
ZAF,South Africa,1993-07-01,20.5
ARM,Armenia,1993-10-01,1.2
AUS,Australia,1993-10-01,54.3
AUT,Austria,1993-10-01,67.1
BEL,Belgium,1993-10-01,63.2
CAN,Canada,1993-10-01,60.1
CHE,Switzerland,1993-10-01,91.6
CHN,China,1993-10-01,31.6
COL,Colombia,1993-10-01,13.9
CZE,Czech Republic,1993-10-01,54.1
DEU,Germany,1993-10-01,72.7
DNK,Denmark,1993-10-01,63.1
ESP,Spain,1993-10-01,57.3
FIN,Finland,1993-10-01,75.1
FRA,France,1993-10-01,70.7
GBR,United Kingdom,1993-10-01,60.1
GRC,Greece,1993-10-01,49.5
HKG,"Hong Kong SAR, China",1993-10-01,47.1
HUN,Hungary,1993-10-01,17.4
IRL,Ireland,1993-10-01,74.8
ISL,Iceland,1993-10-01,44.4
ISR,Israel,1993-10-01,41.8
ITA,Italy,1993-10-01,61.5
JPN,Japan,1993-10-01,92.0
KOR,"Korea, Rep.",1993-10-01,39.8
LTU,Lithuania,1993-10-01,26.0
LUX,Luxembourg,1993-10-01,61.4
LVA,Latvia,1993-10-01,29.4
MEX,Mexico,1993-10-01,12.8
NLD,Netherlands,1993-10-01,74.2
NOR,Norway,1993-10-01,66.3
NZL,New Zealand,1993-10-01,62.4
PRT,Portugal,1993-10-01,69.0
ROU,Romania,1993-10-01,2.034
SGP,Singapore,1993-10-01,60.919
SVK,Slovakia,1993-10-01,44.6
SWE,Sweden,1993-10-01,76.8
THA,Thailand,1993-10-01,35.7
TTO,Trinidad and Tobago,1993-10-01,5.7
TUR,Turkey,1993-10-01,0.3
TWN,"Taiwan, China",1993-10-01,53.5
USA,United States,1993-10-01,58.2
ZAF,South Africa,1993-10-01,21.0
ARM,Armenia,1994-01-01,4.0
AUS,Australia,1994-01-01,54.7
AUT,Austria,1994-01-01,67.0
BEL,Belgium,1994-01-01,63.6
CAN,Canada,1994-01-01,60.3
CHE,Switzerland,1994-01-01,92.5
CHN,China,1994-01-01,35.6
COL,Colombia,1994-01-01,14.8
CZE,Czech Republic,1994-01-01,55.7
DEU,Germany,1994-01-01,73.5
DNK,Denmark,1994-01-01,63.4
ESP,Spain,1994-01-01,58.2
FIN,Finland,1994-01-01,75.3
FRA,France,1994-01-01,70.7
GBR,United Kingdom,1994-01-01,60.7
GRC,Greece,1994-01-01,51.2
HKG,"Hong Kong SAR, China",1994-01-01,48.0
HUN,Hungary,1994-01-01,18.5
IRL,Ireland,1994-01-01,75.4
ISL,Iceland,1994-01-01,42.8
ISR,Israel,1994-01-01,42.6
ITA,Italy,1994-01-01,62.0
JPN,Japan,1994-01-01,94.7
KOR,"Korea, Rep.",1994-01-01,41.6
LTU,Lithuania,1994-01-01,30.8
LUX,Luxembourg,1994-01-01,61.6
LVA,Latvia,1994-01-01,35.0
MDA,"Moldova, Rep.",1994-01-01,153.35
MEX,Mexico,1994-01-01,13.0
NLD,Netherlands,1994-01-01,74.5
NOR,Norway,1994-01-01,66.7
NZL,New Zealand,1994-01-01,62.6
PHL,Philippines,1994-01-01,31.5
PRT,Portugal,1994-01-01,69.9
ROU,Romania,1994-01-01,2.451
SGP,Singapore,1994-01-01,61.972
SVK,Slovakia,1994-01-01,45.5
SWE,Sweden,1994-01-01,77.5
THA,Thailand,1994-01-01,36.5
TTO,Trinidad and Tobago,1994-01-01,6.0
TUR,Turkey,1994-01-01,0.3
TWN,"Taiwan, China",1994-01-01,54.49
USA,United States,1994-01-01,58.9
ZAF,South Africa,1994-01-01,21.6
ARM,Armenia,1994-04-01,9.7
AUS,Australia,1994-04-01,54.8
AUT,Austria,1994-04-01,68.0
BEL,Belgium,1994-04-01,63.7
CAN,Canada,1994-04-01,60.2
CHE,Switzerland,1994-04-01,92.6
CHN,China,1994-04-01,37.5
COL,Colombia,1994-04-01,15.6
CZE,Czech Republic,1994-04-01,56.8
DEU,Germany,1994-04-01,74.6
DNK,Denmark,1994-04-01,64.3
ESP,Spain,1994-04-01,58.4
FIN,Finland,1994-04-01,76.6
FRA,France,1994-04-01,71.6
GBR,United Kingdom,1994-04-01,61.6
GRC,Greece,1994-04-01,53.5
HKG,"Hong Kong SAR, China",1994-04-01,48.6
HUN,Hungary,1994-04-01,19.4
IRL,Ireland,1994-04-01,77.0
ISL,Iceland,1994-04-01,42.5
ISR,Israel,1994-04-01,43.8
ITA,Italy,1994-04-01,62.5
JPN,Japan,1994-04-01,92.8
KOR,"Korea, Rep.",1994-04-01,41.8
LTU,Lithuania,1994-04-01,33.4
LUX,Luxembourg,1994-04-01,61.9
LVA,Latvia,1994-04-01,35.9
MDA,"Moldova, Rep.",1994-04-01,177.41
MEX,Mexico,1994-04-01,13.1
NLD,Netherlands,1994-04-01,75.4
NOR,Norway,1994-04-01,67.3
NZL,New Zealand,1994-04-01,61.8
PHL,Philippines,1994-04-01,31.7
PRT,Portugal,1994-04-01,70.5
ROU,Romania,1994-04-01,2.895
SGP,Singapore,1994-04-01,62.729
SVK,Slovakia,1994-04-01,46.2
SWE,Sweden,1994-04-01,78.6
THA,Thailand,1994-04-01,37.3
TTO,Trinidad and Tobago,1994-04-01,6.1
TUR,Turkey,1994-04-01,0.5
TWN,"Taiwan, China",1994-04-01,55.7
USA,United States,1994-04-01,58.9
ZAF,South Africa,1994-04-01,22.3
ARM,Armenia,1994-07-01,18.6
AUS,Australia,1994-07-01,55.4
AUT,Austria,1994-07-01,68.3
BEL,Belgium,1994-07-01,65.3
CAN,Canada,1994-07-01,60.3
CHE,Switzerland,1994-07-01,92.8
CHN,China,1994-07-01,40.1
COL,Colombia,1994-07-01,16.1
CZE,Czech Republic,1994-07-01,58.5
DEU,Germany,1994-07-01,74.4
DNK,Denmark,1994-07-01,65.3
ESP,Spain,1994-07-01,59.4
FIN,Finland,1994-07-01,76.6
FRA,France,1994-07-01,71.4
GBR,United Kingdom,1994-07-01,61.4
GRC,Greece,1994-07-01,53.5
HKG,"Hong Kong SAR, China",1994-07-01,50.3
HUN,Hungary,1994-07-01,20.3
IRL,Ireland,1994-07-01,77.1
ISL,Iceland,1994-07-01,42.6
ISR,Israel,1994-07-01,45.6
ITA,Italy,1994-07-01,63.1
JPN,Japan,1994-07-01,92.4
KOR,"Korea, Rep.",1994-07-01,43.5
LTU,Lithuania,1994-07-01,34.8
LUX,Luxembourg,1994-07-01,62.7
LVA,Latvia,1994-07-01,35.4
MDA,"Moldova, Rep.",1994-07-01,180.62
MEX,Mexico,1994-07-01,13.3
NLD,Netherlands,1994-07-01,75.9
NOR,Norway,1994-07-01,68.1
NZL,New Zealand,1994-07-01,62.1
PHL,Philippines,1994-07-01,32.3
PRT,Portugal,1994-07-01,70.5
ROU,Romania,1994-07-01,3.235
SGP,Singapore,1994-07-01,63.225
SVK,Slovakia,1994-07-01,49.2
SWE,Sweden,1994-07-01,80.1
THA,Thailand,1994-07-01,38.0
TTO,Trinidad and Tobago,1994-07-01,6.4
TUR,Turkey,1994-07-01,0.5
TWN,"Taiwan, China",1994-07-01,59.39
USA,United States,1994-07-01,59.5
ZAF,South Africa,1994-07-01,24.3
ARM,Armenia,1994-10-01,26.2
AUS,Australia,1994-10-01,55.8
AUT,Austria,1994-10-01,68.3
BEL,Belgium,1994-10-01,64.6
CAN,Canada,1994-10-01,60.2
CHE,Switzerland,1994-10-01,92.1
CHN,China,1994-10-01,43.7
COL,Colombia,1994-10-01,17.0
CZE,Czech Republic,1994-10-01,62.1
DEU,Germany,1994-10-01,74.1
DNK,Denmark,1994-10-01,65.7
ESP,Spain,1994-10-01,60.1
FIN,Finland,1994-10-01,75.1
FRA,France,1994-10-01,71.7
GBR,United Kingdom,1994-10-01,61.2
GRC,Greece,1994-10-01,56.2
HKG,"Hong Kong SAR, China",1994-10-01,50.3
HUN,Hungary,1994-10-01,22.4
IRL,Ireland,1994-10-01,76.6
ISL,Iceland,1994-10-01,42.4
ISR,Israel,1994-10-01,49.5
ITA,Italy,1994-10-01,64.2
JPN,Japan,1994-10-01,93.2
KOR,"Korea, Rep.",1994-10-01,42.9
LTU,Lithuania,1994-10-01,37.4
LUX,Luxembourg,1994-10-01,63.4
LVA,Latvia,1994-10-01,35.6
MDA,"Moldova, Rep.",1994-10-01,197.31
MEX,Mexico,1994-10-01,13.6
NLD,Netherlands,1994-10-01,76.0
NOR,Norway,1994-10-01,67.7
NZL,New Zealand,1994-10-01,62.5
PHL,Philippines,1994-10-01,32.6
PRT,Portugal,1994-10-01,70.5
ROU,Romania,1994-10-01,3.555
SGP,Singapore,1994-10-01,63.494
SHN,Saint Helena,1994-10-01,44.3
SVK,Slovakia,1994-10-01,53.4
SWE,Sweden,1994-10-01,79.2
THA,Thailand,1994-10-01,38.5
TTO,Trinidad and Tobago,1994-10-01,6.7
TUR,Turkey,1994-10-01,0.6
TWN,"Taiwan, China",1994-10-01,57.13
USA,United States,1994-10-01,60.0
ZAF,South Africa,1994-10-01,25.0
ARM,Armenia,1995-01-01,33.3
AUS,Australia,1995-01-01,57.4
AUT,Austria,1995-01-01,66.9
BEL,Belgium,1995-01-01,65.2
BGR,Bulgaria,1995-01-01,98.4
CAN,Canada,1995-01-01,61.9
CHE,Switzerland,1995-01-01,93.6
CHN,China,1995-01-01,47.2
COL,Colombia,1995-01-01,17.8
COL,Colombia,1995-01-01,20.6
CRI,Costa Rica,1995-01-01,13.1
CZE,Czech Republic,1995-01-01,64.7
DEU,Germany,1995-01-01,75.3
DNK,Denmark,1995-01-01,66.2
ESP,Spain,1995-01-01,61.4
FIN,Finland,1995-01-01,71.2
FRA,France,1995-01-01,72.2
GBR,United Kingdom,1995-01-01,62.5
GRC,Greece,1995-01-01,57.4
HKG,"Hong Kong SAR, China",1995-01-01,51.8
HUN,Hungary,1995-01-01,24.8
IRL,Ireland,1995-01-01,78.1
ISL,Iceland,1995-01-01,43.1
ISR,Israel,1995-01-01,48.6
ITA,Italy,1995-01-01,65.4
JPN,Japan,1995-01-01,92.9
KOR,"Korea, Rep.",1995-01-01,43.9
LTU,Lithuania,1995-01-01,44.2
LUX,Luxembourg,1995-01-01,63.9
LVA,Latvia,1995-01-01,40.1
MDA,"Moldova, Rep.",1995-01-01,295.97
MEX,Mexico,1995-01-01,15.1
NGA,Nigeria,1995-01-01,15.6
NLD,Netherlands,1995-01-01,76.3
NOR,Norway,1995-01-01,68.2
NZL,New Zealand,1995-01-01,63.0
PHL,Philippines,1995-01-01,33.3
POL,Poland,1995-01-01,41.9
PRT,Portugal,1995-01-01,72.8
PRY,Paraguay,1995-01-01,18.0
ROU,Romania,1995-01-01,3.709
RUS,Russian Federation,1995-01-01,3.0797
SGP,Singapore,1995-01-01,64.24
SHN,Saint Helena,1995-01-01,44.3
SVK,Slovakia,1995-01-01,54.1
SVN,Slovenia,1995-01-01,42.0
SWE,Sweden,1995-01-01,79.3
THA,Thailand,1995-01-01,39.1
TTO,Trinidad and Tobago,1995-01-01,7.0
TUR,Turkey,1995-01-01,0.8
TWN,"Taiwan, China",1995-01-01,58.43
USA,United States,1995-01-01,60.9
ZAF,South Africa,1995-01-01,25.4
ARM,Armenia,1995-04-01,34.9
AUS,Australia,1995-04-01,57.4
AUT,Austria,1995-04-01,67.0
BEL,Belgium,1995-04-01,64.7
BGR,Bulgaria,1995-04-01,97.7
CAN,Canada,1995-04-01,62.5
CHE,Switzerland,1995-04-01,93.6
CHN,China,1995-04-01,48.1
COL,Colombia,1995-04-01,18.8
COL,Colombia,1995-04-01,22.1
CRI,Costa Rica,1995-04-01,13.2
CZE,Czech Republic,1995-04-01,65.5
DEU,Germany,1995-04-01,75.8
DNK,Denmark,1995-04-01,66.7
ESP,Spain,1995-04-01,61.8
FIN,Finland,1995-04-01,70.8
FRA,France,1995-04-01,72.7
GBR,United Kingdom,1995-04-01,63.5
GRC,Greece,1995-04-01,58.8
HKG,"Hong Kong SAR, China",1995-04-01,52.3
HUN,Hungary,1995-04-01,26.5
IRL,Ireland,1995-04-01,79.1
ISL,Iceland,1995-04-01,43.5
ISR,Israel,1995-04-01,47.8
ITA,Italy,1995-04-01,66.7
JPN,Japan,1995-04-01,92.1
KOR,"Korea, Rep.",1995-04-01,44.0
LTU,Lithuania,1995-04-01,46.1
LUX,Luxembourg,1995-04-01,64.0
LVA,Latvia,1995-04-01,41.5
MDA,"Moldova, Rep.",1995-04-01,302.14
MEX,Mexico,1995-04-01,17.8
NGA,Nigeria,1995-04-01,19.2
NLD,Netherlands,1995-04-01,76.5
NOR,Norway,1995-04-01,68.7
NZL,New Zealand,1995-04-01,63.5
PHL,Philippines,1995-04-01,33.7
POL,Poland,1995-04-01,44.6
PRT,Portugal,1995-04-01,72.5
PRY,Paraguay,1995-04-01,17.8
ROU,Romania,1995-04-01,3.73
RUS,Russian Federation,1995-04-01,3.9478
SGP,Singapore,1995-04-01,64.053
SHN,Saint Helena,1995-04-01,44.6
SVK,Slovakia,1995-04-01,53.4
SVN,Slovenia,1995-04-01,42.5
SWE,Sweden,1995-04-01,81.0
THA,Thailand,1995-04-01,40.0
TTO,Trinidad and Tobago,1995-04-01,7.3
TUR,Turkey,1995-04-01,0.9
TWN,"Taiwan, China",1995-04-01,58.85
USA,United States,1995-04-01,61.2
ZAF,South Africa,1995-04-01,25.7
ARM,Armenia,1995-07-01,44.2
AUS,Australia,1995-07-01,58.5
AUT,Austria,1995-07-01,66.7
BEL,Belgium,1995-07-01,65.4
BGR,Bulgaria,1995-07-01,96.9
CAN,Canada,1995-07-01,61.7
CHE,Switzerland,1995-07-01,93.3
CHN,China,1995-07-01,47.5
COL,Colombia,1995-07-01,19.3
COL,Colombia,1995-07-01,22.2
CRI,Costa Rica,1995-07-01,13.8
CZE,Czech Republic,1995-07-01,63.9
DEU,Germany,1995-07-01,74.6
DNK,Denmark,1995-07-01,66.8
ESP,Spain,1995-07-01,61.8
FIN,Finland,1995-07-01,69.7
FRA,France,1995-07-01,71.9
GBR,United Kingdom,1995-07-01,64.0
GRC,Greece,1995-07-01,56.9
HKG,"Hong Kong SAR, China",1995-07-01,53.7
HUN,Hungary,1995-07-01,26.3
IRL,Ireland,1995-07-01,78.6
ISL,Iceland,1995-07-01,44.6
ISR,Israel,1995-07-01,47.9
ITA,Italy,1995-07-01,67.3
JPN,Japan,1995-07-01,91.7
KOR,"Korea, Rep.",1995-07-01,43.9
LTU,Lithuania,1995-07-01,48.0
LUX,Luxembourg,1995-07-01,63.9
LVA,Latvia,1995-07-01,40.8
MDA,"Moldova, Rep.",1995-07-01,304.04
MEX,Mexico,1995-07-01,19.6
NGA,Nigeria,1995-07-01,21.7
NLD,Netherlands,1995-07-01,75.2
NOR,Norway,1995-07-01,68.9
NZL,New Zealand,1995-07-01,62.3
PHL,Philippines,1995-07-01,35.1
POL,Poland,1995-07-01,42.8
PRT,Portugal,1995-07-01,71.7
PRY,Paraguay,1995-07-01,17.8
ROU,Romania,1995-07-01,4.109
RUS,Russian Federation,1995-07-01,4.6541
SGP,Singapore,1995-07-01,64.547
SHN,Saint Helena,1995-07-01,45.6
SVK,Slovakia,1995-07-01,54.6
SVN,Slovenia,1995-07-01,41.3
SWE,Sweden,1995-07-01,80.5
THA,Thailand,1995-07-01,40.9
TTO,Trinidad and Tobago,1995-07-01,7.5
TUR,Turkey,1995-07-01,1.0
TWN,"Taiwan, China",1995-07-01,59.79
USA,United States,1995-07-01,61.2
ZAF,South Africa,1995-07-01,25.0
ARM,Armenia,1995-10-01,44.1
AUS,Australia,1995-10-01,58.7
AUT,Austria,1995-10-01,66.2
BEL,Belgium,1995-10-01,65.0
BGR,Bulgaria,1995-10-01,107.0
CAN,Canada,1995-10-01,61.3
CHE,Switzerland,1995-10-01,91.9
CHN,China,1995-10-01,49.2
COL,Colombia,1995-10-01,19.9
COL,Colombia,1995-10-01,22.5
CRI,Costa Rica,1995-10-01,15.1
CZE,Czech Republic,1995-10-01,65.9
DEU,Germany,1995-10-01,74.0
DNK,Denmark,1995-10-01,66.8
ESP,Spain,1995-10-01,62.6
FIN,Finland,1995-10-01,68.0
FRA,France,1995-10-01,72.0
GBR,United Kingdom,1995-10-01,63.9
GRC,Greece,1995-10-01,59.5
HKG,"Hong Kong SAR, China",1995-10-01,53.5
HUN,Hungary,1995-10-01,27.7
IRL,Ireland,1995-10-01,78.8
ISL,Iceland,1995-10-01,44.1
ISR,Israel,1995-10-01,49.8
ITA,Italy,1995-10-01,67.9
JPN,Japan,1995-10-01,90.2
KOR,"Korea, Rep.",1995-10-01,43.3
LTU,Lithuania,1995-10-01,53.0
LUX,Luxembourg,1995-10-01,64.0
LVA,Latvia,1995-10-01,42.3
MDA,"Moldova, Rep.",1995-10-01,332.89
MEX,Mexico,1995-10-01,21.4
NGA,Nigeria,1995-10-01,21.7
NLD,Netherlands,1995-10-01,75.0
NOR,Norway,1995-10-01,68.2
NZL,New Zealand,1995-10-01,63.1
PHL,Philippines,1995-10-01,36.1
POL,Poland,1995-10-01,45.7
PRT,Portugal,1995-10-01,72.1
PRY,Paraguay,1995-10-01,18.2
ROU,Romania,1995-10-01,4.437
RUS,Russian Federation,1995-10-01,5.1281
SGP,Singapore,1995-10-01,64.364
SHN,Saint Helena,1995-10-01,46.0
SVK,Slovakia,1995-10-01,56.5
SVN,Slovenia,1995-10-01,41.3
SWE,Sweden,1995-10-01,79.1
THA,Thailand,1995-10-01,42.5
TTO,Trinidad and Tobago,1995-10-01,7.6
TUR,Turkey,1995-10-01,1.1
TWN,"Taiwan, China",1995-10-01,59.42
USA,United States,1995-10-01,61.7
ZAF,South Africa,1995-10-01,25.3
ARM,Armenia,1996-01-01,42.9
AUS,Australia,1996-01-01,58.8
AUT,Austria,1996-01-01,66.5
BEL,Belgium,1996-01-01,65.8
BGR,Bulgaria,1996-01-01,117.5
CAN,Canada,1996-01-01,62.0
CHE,Switzerland,1996-01-01,92.9
CHN,China,1996-01-01,51.6
COL,Colombia,1996-01-01,20.9
COL,Colombia,1996-01-01,24.1
CRI,Costa Rica,1996-01-01,15.5
CZE,Czech Republic,1996-01-01,68.7
DEU,Germany,1996-01-01,75.6
DNK,Denmark,1996-01-01,66.9
ESP,Spain,1996-01-01,63.4
FIN,Finland,1996-01-01,68.8
FRA,France,1996-01-01,72.9
GBR,United Kingdom,1996-01-01,65.3
GRC,Greece,1996-01-01,61.2
HKG,"Hong Kong SAR, China",1996-01-01,54.2
HUN,Hungary,1996-01-01,29.6
IDN,Indonesia,1996-01-01,8.65
IRL,Ireland,1996-01-01,79.3
ISL,Iceland,1996-01-01,44.5
ISR,Israel,1996-01-01,50.6
ITA,Italy,1996-01-01,68.6
JPN,Japan,1996-01-01,91.3
KOR,"Korea, Rep.",1996-01-01,44.2
LTU,Lithuania,1996-01-01,59.4
LUX,Luxembourg,1996-01-01,64.2
LVA,Latvia,1996-01-01,45.6
MDA,"Moldova, Rep.",1996-01-01,364.49
MEX,Mexico,1996-01-01,23.8
NGA,Nigeria,1996-01-01,22.9
NLD,Netherlands,1996-01-01,76.4
NOR,Norway,1996-01-01,68.2
NZL,New Zealand,1996-01-01,63.0
PHL,Philippines,1996-01-01,37.8
POL,Poland,1996-01-01,48.7
PRT,Portugal,1996-01-01,72.7
PRY,Paraguay,1996-01-01,18.9
ROU,Romania,1996-01-01,4.591
RUS,Russian Federation,1996-01-01,5.5028
SDN,Sudan,1996-01-01,15.7
SGP,Singapore,1996-01-01,64.999
SHN,Saint Helena,1996-01-01,47.1
SVK,Slovakia,1996-01-01,56.2
SVN,Slovenia,1996-01-01,44.2
SWE,Sweden,1996-01-01,74.2
THA,Thailand,1996-01-01,43.4
TTO,Trinidad and Tobago,1996-01-01,7.7
TUR,Turkey,1996-01-01,1.4
TWN,"Taiwan, China",1996-01-01,59.3
USA,United States,1996-01-01,62.6
ZAF,South Africa,1996-01-01,26.3
ARM,Armenia,1996-04-01,43.3
AUS,Australia,1996-04-01,59.3
AUT,Austria,1996-04-01,66.8
BEL,Belgium,1996-04-01,66.7
BGR,Bulgaria,1996-04-01,138.0
CAN,Canada,1996-04-01,62.8
CHE,Switzerland,1996-04-01,93.4
CHN,China,1996-04-01,52.4
COL,Colombia,1996-04-01,21.3
COL,Colombia,1996-04-01,25.0
CRI,Costa Rica,1996-04-01,15.9
CZE,Czech Republic,1996-04-01,71.0
DEU,Germany,1996-04-01,76.2
DNK,Denmark,1996-04-01,67.5
ESP,Spain,1996-04-01,64.1
FIN,Finland,1996-04-01,69.6
FRA,France,1996-04-01,73.6
GBR,United Kingdom,1996-04-01,66.2
GRC,Greece,1996-04-01,63.7
HKG,"Hong Kong SAR, China",1996-04-01,55.0
HUN,Hungary,1996-04-01,30.7
IDN,Indonesia,1996-04-01,8.28
IRL,Ireland,1996-04-01,80.4
ISL,Iceland,1996-04-01,45.1
ISR,Israel,1996-04-01,52.9
ITA,Italy,1996-04-01,69.9
JPN,Japan,1996-04-01,91.9
KOR,"Korea, Rep.",1996-04-01,45.4
LTU,Lithuania,1996-04-01,62.1
LUX,Luxembourg,1996-04-01,64.5
LVA,Latvia,1996-04-01,47.1
MDA,"Moldova, Rep.",1996-04-01,369.64
MEX,Mexico,1996-04-01,26.0
NGA,Nigeria,1996-04-01,25.1
NLD,Netherlands,1996-04-01,76.3
NOR,Norway,1996-04-01,69.2
NZL,New Zealand,1996-04-01,63.6
PHL,Philippines,1996-04-01,38.1
POL,Poland,1996-04-01,51.8
PRT,Portugal,1996-04-01,74.4
PRY,Paraguay,1996-04-01,18.8
ROU,Romania,1996-04-01,4.903
RUS,Russian Federation,1996-04-01,5.9138
SDN,Sudan,1996-04-01,20.5
SGP,Singapore,1996-04-01,65.455
SHN,Saint Helena,1996-04-01,47.4
SVK,Slovakia,1996-04-01,56.1
SVN,Slovenia,1996-04-01,46.5
SWE,Sweden,1996-04-01,75.1
THA,Thailand,1996-04-01,43.7
TTO,Trinidad and Tobago,1996-04-01,8.0
TUR,Turkey,1996-04-01,1.6
TWN,"Taiwan, China",1996-04-01,60.47
USA,United States,1996-04-01,63.0
ZAF,South Africa,1996-04-01,26.2
ARM,Armenia,1996-07-01,46.2
AUS,Australia,1996-07-01,60.1
AUT,Austria,1996-07-01,67.1
BEL,Belgium,1996-07-01,65.7
BGR,Bulgaria,1996-07-01,238.5
CAN,Canada,1996-07-01,62.5
CHE,Switzerland,1996-07-01,92.6
CHN,China,1996-07-01,50.9
COL,Colombia,1996-07-01,22.3
COL,Colombia,1996-07-01,25.7
CRI,Costa Rica,1996-07-01,16.7
CZE,Czech Republic,1996-07-01,70.0
DEU,Germany,1996-07-01,75.4
DNK,Denmark,1996-07-01,68.3
ESP,Spain,1996-07-01,64.3
FIN,Finland,1996-07-01,69.2
FRA,France,1996-07-01,72.7
GBR,United Kingdom,1996-07-01,65.7
GRC,Greece,1996-07-01,61.3
HKG,"Hong Kong SAR, China",1996-07-01,55.2
HUN,Hungary,1996-07-01,31.1
IDN,Indonesia,1996-07-01,8.25
IRL,Ireland,1996-07-01,80.5
ISL,Iceland,1996-07-01,45.5
ISR,Israel,1996-07-01,53.9
ITA,Italy,1996-07-01,69.9
JPN,Japan,1996-07-01,91.8
KOR,"Korea, Rep.",1996-07-01,45.6
LTU,Lithuania,1996-07-01,61.1
LUX,Luxembourg,1996-07-01,64.7
LVA,Latvia,1996-07-01,46.2
MDA,"Moldova, Rep.",1996-07-01,363.49
MEX,Mexico,1996-07-01,27.1
NGA,Nigeria,1996-07-01,27.6
NLD,Netherlands,1996-07-01,74.8
NOR,Norway,1996-07-01,70.7
NZL,New Zealand,1996-07-01,64.1
PHL,Philippines,1996-07-01,38.5
POL,Poland,1996-07-01,51.5
PRT,Portugal,1996-07-01,74.4
PRY,Paraguay,1996-07-01,18.7
ROU,Romania,1996-07-01,5.748
RUS,Russian Federation,1996-07-01,6.0428
SDN,Sudan,1996-07-01,27.8
SGP,Singapore,1996-07-01,66.035
SHN,Saint Helena,1996-07-01,47.8
SVK,Slovakia,1996-07-01,56.8
SVN,Slovenia,1996-07-01,45.2
SWE,Sweden,1996-07-01,75.0
THA,Thailand,1996-07-01,44.4
TTO,Trinidad and Tobago,1996-07-01,8.2
TUR,Turkey,1996-07-01,1.7
TWN,"Taiwan, China",1996-07-01,63.16
USA,United States,1996-07-01,63.8
ZAF,South Africa,1996-07-01,27.0
ARM,Armenia,1996-10-01,44.8
AUS,Australia,1996-10-01,60.6
AUT,Austria,1996-10-01,66.8
BEL,Belgium,1996-10-01,65.7
BGR,Bulgaria,1996-10-01,396.7
CAN,Canada,1996-10-01,63.0
CHE,Switzerland,1996-10-01,91.7
CHN,China,1996-10-01,51.9
COL,Colombia,1996-10-01,23.6
COL,Colombia,1996-10-01,26.6
