Country Code,Country,Date,Core_CPI
BEL,Belgium,1976-01-01,6.0
CAN,Canada,1976-01-01,8.0
CHE,Switzerland,1976-01-01,2.2
DEU,Germany,1976-01-01,4.0
DNK,Denmark,1976-01-01,34.7
ESP,Spain,1976-01-01,14.9
ETH,Ethiopia,1976-01-01,5.5
FIN,Finland,1976-01-01,14.4
FRA,France,1976-01-01,9.2
GBR,United Kingdom,1976-01-01,15.5
GRC,Greece,1976-01-01,12.7
GTM,Guatemala,1976-01-01,9.8
IRL,Ireland,1976-01-01,18.4
ISL,Iceland,1976-01-01,84.4
ISR,Israel,1976-01-01,32.3
ITA,Italy,1976-01-01,35.3
JPN,Japan,1976-01-01,9.8
KOR,"Korea, Rep.",1976-01-01,15.6
LUX,Luxembourg,1976-01-01,9.6
NLD,Netherlands,1976-01-01,8.5
NZL,New Zealand,1976-01-01,16.1
PAN,Panama,1976-01-01,5.8
PRT,Portugal,1976-01-01,20.2
SGP,Singapore,1976-01-01,9.0
SWE,Sweden,1976-01-01,9.5
TUN,Tunisia,1976-01-01,-1.9
USA,United States,1976-01-01,6.6
AUS,Australia,1977-01-01,12.9
AUT,Austria,1977-01-01,6.1
BEL,Belgium,1977-01-01,8.0
CAN,Canada,1977-01-01,7.5
CHE,Switzerland,1977-01-01,1.4
DEU,Germany,1977-01-01,3.7
DNK,Denmark,1977-01-01,10.5
ESP,Spain,1977-01-01,26.4
ETH,Ethiopia,1977-01-01,7.9
FIN,Finland,1977-01-01,10.5
FRA,France,1977-01-01,8.5
GBR,United Kingdom,1977-01-01,15.5
GRC,Greece,1977-01-01,11.8
GTM,Guatemala,1977-01-01,3.2
IRL,Ireland,1977-01-01,12.6
ISR,Israel,1977-01-01,32.4
ITA,Italy,1977-01-01,-20.3
JPN,Japan,1977-01-01,8.6
KOR,"Korea, Rep.",1977-01-01,9.5
LUX,Luxembourg,1977-01-01,7.1
NLD,Netherlands,1977-01-01,6.5
NZL,New Zealand,1977-01-01,13.2
PAN,Panama,1977-01-01,9.3
PRT,Portugal,1977-01-01,27.5
SGP,Singapore,1977-01-01,5.0
SWE,Sweden,1977-01-01,11.2
TUN,Tunisia,1977-01-01,2.4
USA,United States,1977-01-01,6.3
