Country Code,Country,Date,Core_CPI
NLD,Netherlands,1971-10-01,24.1
NZL,New Zealand,1971-10-01,7.7
PRT,Portugal,1971-10-01,1.9
SWE,Sweden,1971-10-01,15.9
USA,United States,1971-10-01,17.9
AUS,Australia,1972-01-01,10.4
AUT,Austria,1972-01-01,23.6
CAN,Canada,1972-01-01,18.3
CHE,Switzerland,1972-01-01,37.2
DEU,Germany,1972-01-01,33.3
DNK,Denmark,1972-01-01,15.6
FIN,Finland,1972-01-01,13.3
FRA,France,1972-01-01,16.6
GBR,United Kingdom,1972-01-01,10.5
GRC,Greece,1972-01-01,1.5
ISR,Israel,1972-01-01,0.0
ITA,Italy,1972-01-01,6.0
JPN,Japan,1972-01-01,34.9
LUX,Luxembourg,1972-01-01,21.7
NLD,Netherlands,1972-01-01,24.7
NZL,New Zealand,1972-01-01,7.9
PRT,Portugal,1972-01-01,2.0
SWE,Sweden,1972-01-01,16.2
USA,United States,1972-01-01,18.0
AUS,Australia,1972-04-01,10.5
AUT,Austria,1972-04-01,24.0
CAN,Canada,1972-04-01,18.5
CHE,Switzerland,1972-04-01,37.7
DEU,Germany,1972-04-01,33.6
DNK,Denmark,1972-04-01,15.9
FIN,Finland,1972-04-01,13.7
FRA,France,1972-04-01,16.9
GBR,United Kingdom,1972-04-01,10.7
GRC,Greece,1972-04-01,1.6
ISR,Israel,1972-04-01,0.0
ITA,Italy,1972-04-01,6.1
JPN,Japan,1972-04-01,35.8
LUX,Luxembourg,1972-04-01,22.0
NLD,Netherlands,1972-04-01,25.4
NZL,New Zealand,1972-04-01,8.0
PRT,Portugal,1972-04-01,2.0
SWE,Sweden,1972-04-01,16.4
USA,United States,1972-04-01,18.1
AUS,Australia,1972-07-01,10.7
AUT,Austria,1972-07-01,24.3
CAN,Canada,1972-07-01,18.8
CHE,Switzerland,1972-07-01,38.2
DEU,Germany,1972-07-01,34.1
DNK,Denmark,1972-07-01,16.1
FIN,Finland,1972-07-01,13.9
FRA,France,1972-07-01,17.2
GBR,United Kingdom,1972-07-01,10.9
GRC,Greece,1972-07-01,1.6
ISR,Israel,1972-07-01,0.0
ITA,Italy,1972-07-01,6.2
JPN,Japan,1972-07-01,36.1
LUX,Luxembourg,1972-07-01,22.4
NLD,Netherlands,1972-07-01,25.5
NZL,New Zealand,1972-07-01,8.1
PRT,Portugal,1972-07-01,2.0
SWE,Sweden,1972-07-01,16.6
USA,United States,1972-07-01,18.3
AUS,Australia,1972-10-01,10.8
AUT,Austria,1972-10-01,24.7
CAN,Canada,1972-10-01,19.0
CHE,Switzerland,1972-10-01,39.1
DEU,Germany,1972-10-01,34.6
DNK,Denmark,1972-10-01,16.5
FIN,Finland,1972-10-01,14.1
FRA,France,1972-10-01,17.5
GBR,United Kingdom,1972-10-01,11.1
GRC,Greece,1972-10-01,1.6
ISR,Israel,1972-10-01,0.0
ITA,Italy,1972-10-01,6.4
JPN,Japan,1972-10-01,36.6
LUX,Luxembourg,1972-10-01,22.7
NLD,Netherlands,1972-10-01,26.2
NZL,New Zealand,1972-10-01,8.2
PRT,Portugal,1972-10-01,2.1
SWE,Sweden,1972-10-01,16.8
USA,United States,1972-10-01,18.4
AUS,Australia,1973-01-01,10.9
AUT,Austria,1973-01-01,25.4
