Country Code,Country,Date,GDP_Deflator_Index
SWE,Sweden,2001-07-01,85.6
TUR,"Türkiye, Rep of",2001-07-01,35.7
TWN,"Taiwan, China",2001-07-01,102.8
USA,United States,2001-07-01,83.2
ZAF,South Africa,2001-07-01,52.5
AUS,Australia,2001-10-01,71.1
AUT,Austria,2001-10-01,86.7
AZE,Azerbaijan,2001-10-01,69.4
BEL,Belgium,2001-10-01,86.1
BGR,Bulgaria,2001-10-01,63.1
BIH,Bosnia and Herzegovina,2001-10-01,72.8
BOL,Bolivia,2001-10-01,231.5
BRA,Brazil,2001-10-01,49.4
BWA,Botswana,2001-10-01,31.2
CAN,Canada,2001-10-01,80.2
CHE,Switzerland,2001-10-01,91.5
CHL,Chile,2001-10-01,62.0
CHN,China,2001-10-01,53.1
CRI,Costa Rica,2001-10-01,40.8
CYP,Cyprus,2001-10-01,78.6
CZE,Czech Republic,2001-10-01,87.5
DEU,Germany,2001-10-01,91.7
DNK,Denmark,2001-10-01,81.9
ECU,Equador,2001-10-01,50.7
ESP,Spain,2001-10-01,78.7
EST,Estonia,2001-10-01,64.6
FIN,Finland,2001-10-01,89.4
FRA,France,2001-10-01,86.3
GBR,United Kingdom,2001-10-01,80.5
GRC,Greece,2001-10-01,75.1
GTM,Guatemala,2001-10-01,53.4
HKG,"Hong Kong SAR, China",2001-10-01,84.2
HND,Honduras,2001-10-01,59.2
HRV,Croatia,2001-10-01,73.7
HUN,Hungary,2001-10-01,67.3
IDN,Indonesia,2001-10-01,43.1
IND,India,2001-10-01,61.2
IRL,Ireland,2001-10-01,91.0
ISL,Iceland,2001-10-01,61.6
ISR,Israel,2001-10-01,86.8
ITA,Italy,2001-10-01,83.0
JOR,Jordan,2001-10-01,61.1
JPN,Japan,2001-10-01,110.3
KAZ,Kazakhstan,2001-10-01,29.9
KOR,"Korea, Rep.",2001-10-01,79.6
LTU,Lithuania,2001-10-01,71.9
LUX,Luxembourg,2001-10-01,74.3
LVA,Latvia,2001-10-01,57.1
MAC,"Macao SAR, China",2001-10-01,43.9
MEX,Mexico,2001-10-01,61.4
MKD,North Macedonia,2001-10-01,82.5
MLT,Malta,2001-10-01,81.9
NLD,Netherlands,2001-10-01,85.1
NOR,Norway,2001-10-01,66.8
NZL,New Zealand,2001-10-01,81.1
PHL,Philippines,2001-10-01,56.8
POL,Poland,2001-10-01,79.2
PRT,Portugal,2001-10-01,80.9
PRY,Paraguay,2001-10-01,34.2
QAT,Qatar,2001-10-01,0.0
ROU,Romania,2001-10-01,33.2
RUS,Russian Federation,2001-10-01,13.5
SGP,Singapore,2001-10-01,83.6
SLV,El Salvador,2001-10-01,3953.9
SRB,Serbia,2001-10-01,43.2
SVK,Slovakia,2001-10-01,79.8
SVN,Slovenia,2001-10-01,76.3
SWE,Sweden,2001-10-01,86.7
TUR,"Türkiye, Rep of",2001-10-01,39.1
TWN,"Taiwan, China",2001-10-01,103.7
USA,United States,2001-10-01,83.4
ZAF,South Africa,2001-10-01,53.8
AUS,Australia,2002-01-01,72.1
AUT,Austria,2002-01-01,86.0
AZE,Azerbaijan,2002-01-01,77.4
BEL,Belgium,2002-01-01,86.3
BGR,Bulgaria,2002-01-01,64.4
BIH,Bosnia and Herzegovina,2002-01-01,74.1
BOL,Bolivia,2002-01-01,257.3
BRA,Brazil,2002-01-01,50.9
BWA,Botswana,2002-01-01,37.2
CAN,Canada,2002-01-01,80.6
CHE,Switzerland,2002-01-01,91.3
CHL,Chile,2002-01-01,61.3
CHN,China,2002-01-01,53.0
CRI,Costa Rica,2002-01-01,41.5
CYP,Cyprus,2002-01-01,78.7
CZE,Czech Republic,2002-01-01,87.7
DEU,Germany,2002-01-01,91.8
DNK,Denmark,2002-01-01,82.4
ECU,Equador,2002-01-01,52.2
ESP,Spain,2002-01-01,79.6
EST,Estonia,2002-01-01,64.8
FIN,Finland,2002-01-01,90.0
FRA,France,2002-01-01,86.9
GBR,United Kingdom,2002-01-01,81.4
GRC,Greece,2002-01-01,75.8
GTM,Guatemala,2002-01-01,55.9
HKG,"Hong Kong SAR, China",2002-01-01,82.2
HND,Honduras,2002-01-01,59.2
HRV,Croatia,2002-01-01,74.9
HUN,Hungary,2002-01-01,70.8
IDN,Indonesia,2002-01-01,43.8
IND,India,2002-01-01,61.4
IRL,Ireland,2002-01-01,95.6
ISL,Iceland,2002-01-01,63.4
ISR,Israel,2002-01-01,88.7
ITA,Italy,2002-01-01,83.9
JOR,Jordan,2002-01-01,61.0
JPN,Japan,2002-01-01,110.4
KAZ,Kazakhstan,2002-01-01,28.9
KOR,"Korea, Rep.",2002-01-01,82.5
LTU,Lithuania,2002-01-01,73.0
LUX,Luxembourg,2002-01-01,73.9
LVA,Latvia,2002-01-01,58.6
MAC,"Macao SAR, China",2002-01-01,46.0
MEX,Mexico,2002-01-01,61.5
MKD,North Macedonia,2002-01-01,82.2
MLT,Malta,2002-01-01,82.4
NLD,Netherlands,2002-01-01,86.7
NOR,Norway,2002-01-01,66.6
NZL,New Zealand,2002-01-01,81.2
PHL,Philippines,2002-01-01,57.2
POL,Poland,2002-01-01,80.3
PRT,Portugal,2002-01-01,81.7
PRY,Paraguay,2002-01-01,35.6
QAT,Qatar,2002-01-01,0.0
ROU,Romania,2002-01-01,34.7
RUS,Russian Federation,2002-01-01,13.9
SGP,Singapore,2002-01-01,84.5
SLV,El Salvador,2002-01-01,4013.3
SRB,Serbia,2002-01-01,44.1
SVK,Slovakia,2002-01-01,81.1
SVN,Slovenia,2002-01-01,77.8
SWE,Sweden,2002-01-01,86.7
TUR,"Türkiye, Rep of",2002-01-01,42.2
TWN,"Taiwan, China",2002-01-01,107.6
USA,United States,2002-01-01,83.7
ZAF,South Africa,2002-01-01,56.8
AUS,Australia,2002-04-01,72.1
AUT,Austria,2002-04-01,86.7
AZE,Azerbaijan,2002-04-01,73.1
BEL,Belgium,2002-04-01,86.5
BGR,Bulgaria,2002-04-01,64.7
BIH,Bosnia and Herzegovina,2002-04-01,73.6
BOL,Bolivia,2002-04-01,225.1
BRA,Brazil,2002-04-01,52.4
BWA,Botswana,2002-04-01,30.0
CAN,Canada,2002-04-01,82.0
CHE,Switzerland,2002-04-01,91.0
CHL,Chile,2002-04-01,61.8
CHN,China,2002-04-01,54.3
CRI,Costa Rica,2002-04-01,43.0
CYP,Cyprus,2002-04-01,78.6
CZE,Czech Republic,2002-04-01,88.7
DEU,Germany,2002-04-01,91.4
DNK,Denmark,2002-04-01,82.7
ECU,Equador,2002-04-01,54.0
ESP,Spain,2002-04-01,80.4
EST,Estonia,2002-04-01,65.6
FIN,Finland,2002-04-01,90.1
FRA,France,2002-04-01,87.1
GBR,United Kingdom,2002-04-01,81.9
GRC,Greece,2002-04-01,76.1
GTM,Guatemala,2002-04-01,55.6
HKG,"Hong Kong SAR, China",2002-04-01,82.2
HND,Honduras,2002-04-01,60.0
HRV,Croatia,2002-04-01,74.9
HUN,Hungary,2002-04-01,70.6
IDN,Indonesia,2002-04-01,44.4
IND,India,2002-04-01,62.3
IRL,Ireland,2002-04-01,95.5
ISL,Iceland,2002-04-01,63.2
ISR,Israel,2002-04-01,90.0
ITA,Italy,2002-04-01,84.3
JOR,Jordan,2002-04-01,60.5
JPN,Japan,2002-04-01,109.2
KAZ,Kazakhstan,2002-04-01,32.3
KOR,"Korea, Rep.",2002-04-01,83.3
LTU,Lithuania,2002-04-01,73.2
LUX,Luxembourg,2002-04-01,74.3
LVA,Latvia,2002-04-01,58.7
MAC,"Macao SAR, China",2002-04-01,45.1
MEX,Mexico,2002-04-01,63.5
MKD,North Macedonia,2002-04-01,79.8
MLT,Malta,2002-04-01,83.1
NLD,Netherlands,2002-04-01,87.3
NOR,Norway,2002-04-01,67.7
NZL,New Zealand,2002-04-01,80.4
PHL,Philippines,2002-04-01,58.0
POL,Poland,2002-04-01,79.7
PRT,Portugal,2002-04-01,82.7
PRY,Paraguay,2002-04-01,36.8
QAT,Qatar,2002-04-01,0.0
ROU,Romania,2002-04-01,37.3
RUS,Russian Federation,2002-04-01,14.3
SGP,Singapore,2002-04-01,82.9
SLV,El Salvador,2002-04-01,4013.3
SRB,Serbia,2002-04-01,45.9
SVK,Slovakia,2002-04-01,81.8
SVN,Slovenia,2002-04-01,79.2
SWE,Sweden,2002-04-01,87.1
TUR,"Türkiye, Rep of",2002-04-01,44.0
TWN,"Taiwan, China",2002-04-01,101.9
USA,United States,2002-04-01,84.0
ZAF,South Africa,2002-04-01,58.2
AUS,Australia,2002-07-01,72.9
AUT,Austria,2002-07-01,87.0
AZE,Azerbaijan,2002-07-01,73.4
BEL,Belgium,2002-07-01,86.9
BGR,Bulgaria,2002-07-01,64.7
BIH,Bosnia and Herzegovina,2002-07-01,72.8
BOL,Bolivia,2002-07-01,251.0
BRA,Brazil,2002-07-01,53.1
BWA,Botswana,2002-07-01,33.3
CAN,Canada,2002-07-01,82.5
CHE,Switzerland,2002-07-01,91.3
CHL,Chile,2002-07-01,63.2
CHN,China,2002-07-01,53.1
CRI,Costa Rica,2002-07-01,43.9
CYP,Cyprus,2002-07-01,78.3
CZE,Czech Republic,2002-07-01,88.3
DEU,Germany,2002-07-01,92.2
DNK,Denmark,2002-07-01,83.3
ECU,Equador,2002-07-01,55.9
ESP,Spain,2002-07-01,81.1
EST,Estonia,2002-07-01,65.3
FIN,Finland,2002-07-01,90.1
FRA,France,2002-07-01,87.5
GBR,United Kingdom,2002-07-01,82.3
GRC,Greece,2002-07-01,76.5
GTM,Guatemala,2002-07-01,55.9
HKG,"Hong Kong SAR, China",2002-07-01,81.1
HND,Honduras,2002-07-01,61.3
HRV,Croatia,2002-07-01,75.7
HUN,Hungary,2002-07-01,72.3
IDN,Indonesia,2002-07-01,45.2
IND,India,2002-07-01,63.2
IRL,Ireland,2002-07-01,98.0
ISL,Iceland,2002-07-01,62.2
ISR,Israel,2002-07-01,91.7
ITA,Italy,2002-07-01,85.0
JOR,Jordan,2002-07-01,60.8
JPN,Japan,2002-07-01,108.9
KAZ,Kazakhstan,2002-07-01,31.5
KOR,"Korea, Rep.",2002-07-01,82.4
LTU,Lithuania,2002-07-01,72.9
LUX,Luxembourg,2002-07-01,74.9
LVA,Latvia,2002-07-01,59.5
MAC,"Macao SAR, China",2002-07-01,43.9
MEX,Mexico,2002-07-01,64.4
MKD,North Macedonia,2002-07-01,81.2
MLT,Malta,2002-07-01,82.7
NLD,Netherlands,2002-07-01,88.1
NOR,Norway,2002-07-01,68.3
NZL,New Zealand,2002-07-01,81.1
PHL,Philippines,2002-07-01,58.6
POL,Poland,2002-07-01,79.8
PRT,Portugal,2002-07-01,83.5
PRY,Paraguay,2002-07-01,40.4
QAT,Qatar,2002-07-01,0.0
ROU,Romania,2002-07-01,39.4
RUS,Russian Federation,2002-07-01,16.1
SGP,Singapore,2002-07-01,82.3
SLV,El Salvador,2002-07-01,4013.3
SRB,Serbia,2002-07-01,48.3
SVK,Slovakia,2002-07-01,82.7
SVN,Slovenia,2002-07-01,80.1
SWE,Sweden,2002-07-01,87.1
TUR,"Türkiye, Rep of",2002-07-01,47.3
TWN,"Taiwan, China",2002-07-01,103.3
USA,United States,2002-07-01,84.4
ZAF,South Africa,2002-07-01,59.4
AUS,Australia,2002-10-01,73.5
AUT,Austria,2002-10-01,87.7
AZE,Azerbaijan,2002-10-01,75.1
BEL,Belgium,2002-10-01,87.3
BGR,Bulgaria,2002-10-01,65.4
BIH,Bosnia and Herzegovina,2002-10-01,74.4
BOL,Bolivia,2002-10-01,242.2
BRA,Brazil,2002-10-01,54.2
BWA,Botswana,2002-10-01,30.5
CAN,Canada,2002-10-01,83.6
CHE,Switzerland,2002-10-01,91.7
CHL,Chile,2002-10-01,64.2
CHN,China,2002-10-01,53.7
CRI,Costa Rica,2002-10-01,44.8
CYP,Cyprus,2002-10-01,79.8
CZE,Czech Republic,2002-10-01,88.0
DEU,Germany,2002-10-01,92.5
DNK,Denmark,2002-10-01,83.7
ECU,Equador,2002-10-01,57.1
ESP,Spain,2002-10-01,81.7
EST,Estonia,2002-10-01,66.8
FIN,Finland,2002-10-01,90.3
FRA,France,2002-10-01,88.0
GBR,United Kingdom,2002-10-01,83.0
GRC,Greece,2002-10-01,78.0
GTM,Guatemala,2002-10-01,56.0
HKG,"Hong Kong SAR, China",2002-10-01,80.2
HND,Honduras,2002-10-01,62.2
HRV,Croatia,2002-10-01,76.3
HUN,Hungary,2002-10-01,73.1
IDN,Indonesia,2002-10-01,45.6
IND,India,2002-10-01,63.5
IRL,Ireland,2002-10-01,97.1
ISL,Iceland,2002-10-01,62.4
ISR,Israel,2002-10-01,91.7
ITA,Italy,2002-10-01,85.1
JOR,Jordan,2002-10-01,61.7
JPN,Japan,2002-10-01,108.7
KAZ,Kazakhstan,2002-10-01,32.1
KOR,"Korea, Rep.",2002-10-01,83.5
LTU,Lithuania,2002-10-01,72.6
LUX,Luxembourg,2002-10-01,73.8
LVA,Latvia,2002-10-01,59.9
MAC,"Macao SAR, China",2002-10-01,43.0
MEX,Mexico,2002-10-01,65.3
MKD,North Macedonia,2002-10-01,82.1
MLT,Malta,2002-10-01,84.2
NLD,Netherlands,2002-10-01,88.2
NOR,Norway,2002-10-01,68.4
NZL,New Zealand,2002-10-01,79.8
PHL,Philippines,2002-10-01,59.2
POL,Poland,2002-10-01,79.7
PRT,Portugal,2002-10-01,84.4
PRY,Paraguay,2002-10-01,42.9
QAT,Qatar,2002-10-01,0.0
ROU,Romania,2002-10-01,41.1
RUS,Russian Federation,2002-10-01,15.6
SGP,Singapore,2002-10-01,83.9
SLV,El Salvador,2002-10-01,4013.3
SRB,Serbia,2002-10-01,50.0
SVK,Slovakia,2002-10-01,83.8
SVN,Slovenia,2002-10-01,80.9
SWE,Sweden,2002-10-01,87.6
TUR,"Türkiye, Rep of",2002-10-01,50.2
TWN,"Taiwan, China",2002-10-01,102.1
USA,United States,2002-10-01,84.9
ZAF,South Africa,2002-10-01,60.6
AUS,Australia,2003-01-01,74.2
AUT,Austria,2003-01-01,87.8
AZE,Azerbaijan,2003-01-01,83.0
BEL,Belgium,2003-01-01,87.6
BGR,Bulgaria,2003-01-01,65.0
BIH,Bosnia and Herzegovina,2003-01-01,74.7
BOL,Bolivia,2003-01-01,275.1
BRA,Brazil,2003-01-01,57.6
BWA,Botswana,2003-01-01,36.4
CAN,Canada,2003-01-01,84.7
CHE,Switzerland,2003-01-01,92.0
CHL,Chile,2003-01-01,64.0
CHN,China,2003-01-01,54.1
CRI,Costa Rica,2003-01-01,46.3
CYP,Cyprus,2003-01-01,81.4
CZE,Czech Republic,2003-01-01,89.1
DEU,Germany,2003-01-01,93.0
DNK,Denmark,2003-01-01,83.7
ECU,Equador,2003-01-01,59.8
ESP,Spain,2003-01-01,82.4
EST,Estonia,2003-01-01,67.6
FIN,Finland,2003-01-01,90.5
FRA,France,2003-01-01,88.2
GBR,United Kingdom,2003-01-01,83.4
GRC,Greece,2003-01-01,78.2
GTM,Guatemala,2003-01-01,58.8
HKG,"Hong Kong SAR, China",2003-01-01,78.1
HND,Honduras,2003-01-01,61.9
HRV,Croatia,2003-01-01,77.5
HUN,Hungary,2003-01-01,73.0
IDN,Indonesia,2003-01-01,47.4
IND,India,2003-01-01,64.3
IRL,Ireland,2003-01-01,98.2
ISL,Iceland,2003-01-01,62.9
ISR,Israel,2003-01-01,92.4
ITA,Italy,2003-01-01,86.2
JOR,Jordan,2003-01-01,61.8
JPN,Japan,2003-01-01,107.9
KAZ,Kazakhstan,2003-01-01,32.8
KOR,"Korea, Rep.",2003-01-01,85.1
LTU,Lithuania,2003-01-01,73.3
LUX,Luxembourg,2003-01-01,75.9
LVA,Latvia,2003-01-01,60.8
MAC,"Macao SAR, China",2003-01-01,46.2
MEX,Mexico,2003-01-01,66.0
MKD,North Macedonia,2003-01-01,84.3
MLT,Malta,2003-01-01,84.3
NLD,Netherlands,2003-01-01,88.8
NOR,Norway,2003-01-01,69.5
NZL,New Zealand,2003-01-01,80.5
PHL,Philippines,2003-01-01,59.3
POL,Poland,2003-01-01,79.8
PRT,Portugal,2003-01-01,84.7
PRY,Paraguay,2003-01-01,44.7
QAT,Qatar,2003-01-01,0.0
ROU,Romania,2003-01-01,43.5
RUS,Russian Federation,2003-01-01,16.2
SGP,Singapore,2003-01-01,84.3
SLV,El Salvador,2003-01-01,4132.4
SRB,Serbia,2003-01-01,50.8
SVK,Slovakia,2003-01-01,84.4
SVN,Slovenia,2003-01-01,82.2
SWE,Sweden,2003-01-01,88.4
THA,Thailand,2003-01-01,78.3
TUR,"Türkiye, Rep of",2003-01-01,54.1
TWN,"Taiwan, China",2003-01-01,105.2
USA,United States,2003-01-01,85.3
ZAF,South Africa,2003-01-01,61.4
AUS,Australia,2003-04-01,74.6
AUT,Austria,2003-04-01,87.8
AZE,Azerbaijan,2003-04-01,84.3
BEL,Belgium,2003-04-01,88.2
BGR,Bulgaria,2003-04-01,65.6
BIH,Bosnia and Herzegovina,2003-04-01,74.4
BOL,Bolivia,2003-04-01,238.8
BRA,Brazil,2003-04-01,59.4
BWA,Botswana,2003-04-01,31.2
CAN,Canada,2003-04-01,84.0
CHE,Switzerland,2003-04-01,92.5
CHL,Chile,2003-04-01,65.0
CHN,China,2003-04-01,55.5
CRI,Costa Rica,2003-04-01,47.1
CYP,Cyprus,2003-04-01,83.2
CZE,Czech Republic,2003-04-01,89.6
DEU,Germany,2003-04-01,93.0
DNK,Denmark,2003-04-01,84.0
ECU,Equador,2003-04-01,60.2
ESP,Spain,2003-04-01,83.7
EST,Estonia,2003-04-01,68.0
FIN,Finland,2003-04-01,90.2
FRA,France,2003-04-01,88.8
GBR,United Kingdom,2003-04-01,84.1
GRC,Greece,2003-04-01,78.4
GTM,Guatemala,2003-04-01,57.7
HKG,"Hong Kong SAR, China",2003-04-01,76.9
HND,Honduras,2003-04-01,63.7
HRV,Croatia,2003-04-01,78.2
HUN,Hungary,2003-04-01,74.4
IDN,Indonesia,2003-04-01,46.7
IND,India,2003-04-01,64.8
IRL,Ireland,2003-04-01,98.8
ISL,Iceland,2003-04-01,63.3
ISR,Israel,2003-04-01,89.9
ITA,Italy,2003-04-01,87.0
JOR,Jordan,2003-04-01,61.9
JPN,Japan,2003-04-01,107.9
KAZ,Kazakhstan,2003-04-01,33.2
KOR,"Korea, Rep.",2003-04-01,86.0
LTU,Lithuania,2003-04-01,72.3
LUX,Luxembourg,2003-04-01,75.5
LVA,Latvia,2003-04-01,61.8
MAC,"Macao SAR, China",2003-04-01,44.9
MEX,Mexico,2003-04-01,65.8
MKD,North Macedonia,2003-04-01,83.4
MLT,Malta,2003-04-01,84.5
NLD,Netherlands,2003-04-01,89.2
NOR,Norway,2003-04-01,68.7
NZL,New Zealand,2003-04-01,81.4
PHL,Philippines,2003-04-01,59.4
POL,Poland,2003-04-01,80.3
PRT,Portugal,2003-04-01,86.1
PRY,Paraguay,2003-04-01,44.4
QAT,Qatar,2003-04-01,0.0
ROU,Romania,2003-04-01,45.3
RUS,Russian Federation,2003-04-01,16.3
SGP,Singapore,2003-04-01,80.7
SLV,El Salvador,2003-04-01,4132.4
SRB,Serbia,2003-04-01,52.9
SVK,Slovakia,2003-04-01,86.1
SVN,Slovenia,2003-04-01,83.7
SWE,Sweden,2003-04-01,88.3
THA,Thailand,2003-04-01,78.9
TUR,"Türkiye, Rep of",2003-04-01,56.2
TWN,"Taiwan, China",2003-04-01,102.6
USA,United States,2003-04-01,85.6
ZAF,South Africa,2003-04-01,62.2
AUS,Australia,2003-07-01,75.1
AUT,Austria,2003-07-01,87.9
AZE,Azerbaijan,2003-07-01,77.3
BEL,Belgium,2003-07-01,88.5
BGR,Bulgaria,2003-07-01,66.8
BIH,Bosnia and Herzegovina,2003-07-01,72.8
BOL,Bolivia,2003-07-01,269.6
BRA,Brazil,2003-07-01,61.0
BWA,Botswana,2003-07-01,34.1
CAN,Canada,2003-07-01,85.1
CHE,Switzerland,2003-07-01,92.4
CHL,Chile,2003-07-01,65.5
CHN,China,2003-07-01,54.5
CRI,Costa Rica,2003-07-01,48.2
CYP,Cyprus,2003-07-01,83.1
CZE,Czech Republic,2003-07-01,89.1
DEU,Germany,2003-07-01,93.4
DNK,Denmark,2003-07-01,84.6
ECU,Equador,2003-07-01,61.6
ESP,Spain,2003-07-01,84.2
EST,Estonia,2003-07-01,68.2
FIN,Finland,2003-07-01,89.9
FRA,France,2003-07-01,89.3
GBR,United Kingdom,2003-07-01,84.5
GRC,Greece,2003-07-01,80.1
GTM,Guatemala,2003-07-01,58.3
HKG,"Hong Kong SAR, China",2003-07-01,75.6
HND,Honduras,2003-07-01,65.1
HRV,Croatia,2003-07-01,79.4
HUN,Hungary,2003-07-01,76.1
IDN,Indonesia,2003-07-01,47.1
IND,India,2003-07-01,64.9
IRL,Ireland,2003-07-01,100.3
ISL,Iceland,2003-07-01,63.0
ISR,Israel,2003-07-01,89.2
ITA,Italy,2003-07-01,88.1
JOR,Jordan,2003-07-01,62.7
JPN,Japan,2003-07-01,107.5
KAZ,Kazakhstan,2003-07-01,35.9
KOR,"Korea, Rep.",2003-07-01,85.6
LTU,Lithuania,2003-07-01,71.7
LUX,Luxembourg,2003-07-01,76.1
LVA,Latvia,2003-07-01,62.7
MAC,"Macao SAR, China",2003-07-01,43.6
MEX,Mexico,2003-07-01,66.3
MKD,North Macedonia,2003-07-01,81.5
MLT,Malta,2003-07-01,84.4
NLD,Netherlands,2003-07-01,89.7
NOR,Norway,2003-07-01,70.1
NZL,New Zealand,2003-07-01,82.0
PHL,Philippines,2003-07-01,60.4
POL,Poland,2003-07-01,80.2
PRT,Portugal,2003-07-01,86.0
PRY,Paraguay,2003-07-01,44.3
QAT,Qatar,2003-07-01,0.0
ROU,Romania,2003-07-01,48.6
RUS,Russian Federation,2003-07-01,18.1
SGP,Singapore,2003-07-01,80.3
SLV,El Salvador,2003-07-01,4132.4
SRB,Serbia,2003-07-01,54.1
SVK,Slovakia,2003-07-01,87.5
SVN,Slovenia,2003-07-01,84.2
SWE,Sweden,2003-07-01,88.8
THA,Thailand,2003-07-01,79.6
TUR,"Türkiye, Rep of",2003-07-01,57.4
TWN,"Taiwan, China",2003-07-01,101.4
USA,United States,2003-07-01,86.1
ZAF,South Africa,2003-07-01,62.8
AUS,Australia,2003-10-01,75.7
AUT,Austria,2003-10-01,88.3
AZE,Azerbaijan,2003-10-01,76.4
BEL,Belgium,2003-10-01,89.0
BGR,Bulgaria,2003-10-01,67.3
BIH,Bosnia and Herzegovina,2003-10-01,73.7
BOL,Bolivia,2003-10-01,254.4
BRA,Brazil,2003-10-01,62.3
BWA,Botswana,2003-10-01,32.7
CAN,Canada,2003-10-01,85.5
CHE,Switzerland,2003-10-01,92.6
CHL,Chile,2003-10-01,66.8
CHN,China,2003-10-01,55.5
CRI,Costa Rica,2003-10-01,50.1
CYP,Cyprus,2003-10-01,84.7
CZE,Czech Republic,2003-10-01,89.4
DEU,Germany,2003-10-01,93.5
DNK,Denmark,2003-10-01,84.6
ECU,Equador,2003-10-01,62.2
ESP,Spain,2003-10-01,85.0
EST,Estonia,2003-10-01,68.5
FIN,Finland,2003-10-01,90.5
FRA,France,2003-10-01,89.7
GBR,United Kingdom,2003-10-01,84.6
GRC,Greece,2003-10-01,80.0
GTM,Guatemala,2003-10-01,58.6
HKG,"Hong Kong SAR, China",2003-10-01,75.6
HND,Honduras,2003-10-01,66.0
HRV,Croatia,2003-10-01,79.6
HUN,Hungary,2003-10-01,79.1
IDN,Indonesia,2003-10-01,47.6
IND,India,2003-10-01,65.8
IRL,Ireland,2003-10-01,99.9
ISL,Iceland,2003-10-01,63.3
ISR,Israel,2003-10-01,89.4
ITA,Italy,2003-10-01,87.6
JOR,Jordan,2003-10-01,62.5
JPN,Japan,2003-10-01,106.8
KAZ,Kazakhstan,2003-10-01,37.5
KOR,"Korea, Rep.",2003-10-01,86.4
LTU,Lithuania,2003-10-01,72.1
LUX,Luxembourg,2003-10-01,75.8
LVA,Latvia,2003-10-01,63.1
MAC,"Macao SAR, China",2003-10-01,43.6
MEX,Mexico,2003-10-01,67.5
MKD,North Macedonia,2003-10-01,80.3
MLT,Malta,2003-10-01,85.5
NLD,Netherlands,2003-10-01,90.1
NOR,Norway,2003-10-01,70.6
NZL,New Zealand,2003-10-01,82.5
PHL,Philippines,2003-10-01,61.3
POL,Poland,2003-10-01,81.0
PRT,Portugal,2003-10-01,86.8
PRY,Paraguay,2003-10-01,45.9
QAT,Qatar,2003-10-01,0.0
ROU,Romania,2003-10-01,50.6
RUS,Russian Federation,2003-10-01,17.6
SGP,Singapore,2003-10-01,82.3
SLV,El Salvador,2003-10-01,4132.4
SRB,Serbia,2003-10-01,54.6
SVK,Slovakia,2003-10-01,88.8
SVN,Slovenia,2003-10-01,85.0
SWE,Sweden,2003-10-01,89.0
THA,Thailand,2003-10-01,80.2
TUR,"Türkiye, Rep of",2003-10-01,58.6
TWN,"Taiwan, China",2003-10-01,100.0
USA,United States,2003-10-01,86.6
ZAF,South Africa,2003-10-01,63.8
ARG,Argentina,2004-01-01,39.0
AUS,Australia,2004-01-01,76.6
AUT,Austria,2004-01-01,89.1
AZE,Azerbaijan,2004-01-01,87.9
BEL,Belgium,2004-01-01,89.5
BGR,Bulgaria,2004-01-01,69.3
BIH,Bosnia and Herzegovina,2004-01-01,72.9
BOL,Bolivia,2004-01-01,299.2
BRA,Brazil,2004-01-01,63.1
BWA,Botswana,2004-01-01,40.2
CAN,Canada,2004-01-01,86.4
CHE,Switzerland,2004-01-01,92.4
CHL,Chile,2004-01-01,67.8
CHN,China,2004-01-01,56.6
CRI,Costa Rica,2004-01-01,51.7
CYP,Cyprus,2004-01-01,84.8
CZE,Czech Republic,2004-01-01,92.1
DEU,Germany,2004-01-01,93.9
DNK,Denmark,2004-01-01,85.5
ECU,Equador,2004-01-01,63.6
ESP,Spain,2004-01-01,86.0
EST,Estonia,2004-01-01,71.3
FIN,Finland,2004-01-01,90.7
FRA,France,2004-01-01,90.0
GBR,United Kingdom,2004-01-01,85.0
GRC,Greece,2004-01-01,81.0
GTM,Guatemala,2004-01-01,61.4
HKG,"Hong Kong SAR, China",2004-01-01,74.6
HND,Honduras,2004-01-01,65.9
HRV,Croatia,2004-01-01,80.0
HUN,Hungary,2004-01-01,79.6
IDN,Indonesia,2004-01-01,49.2
IND,India,2004-01-01,66.7
IRL,Ireland,2004-01-01,99.7
ISL,Iceland,2004-01-01,64.0
ISR,Israel,2004-01-01,90.3
ITA,Italy,2004-01-01,88.5
JOR,Jordan,2004-01-01,64.1
JPN,Japan,2004-01-01,106.6
KAZ,Kazakhstan,2004-01-01,40.0
KOR,"Korea, Rep.",2004-01-01,87.5
LTU,Lithuania,2004-01-01,72.2
LUX,Luxembourg,2004-01-01,77.1
LVA,Latvia,2004-01-01,64.3
MAC,"Macao SAR, China",2004-01-01,45.6
MEX,Mexico,2004-01-01,69.3
MKD,North Macedonia,2004-01-01,80.8
MLT,Malta,2004-01-01,86.3
NLD,Netherlands,2004-01-01,89.8
NOR,Norway,2004-01-01,70.9
NZL,New Zealand,2004-01-01,82.7
PHL,Philippines,2004-01-01,62.0
POL,Poland,2004-01-01,82.4
PRT,Portugal,2004-01-01,86.7
PRY,Paraguay,2004-01-01,50.3
QAT,Qatar,2004-01-01,0.0
ROU,Romania,2004-01-01,51.5
RUS,Russian Federation,2004-01-01,18.7
SGP,Singapore,2004-01-01,84.6
SLV,El Salvador,2004-01-01,4244.7
SRB,Serbia,2004-01-01,54.5
SVK,Slovakia,2004-01-01,90.7
SVN,Slovenia,2004-01-01,85.6
SWE,Sweden,2004-01-01,88.6
THA,Thailand,2004-01-01,78.5
TUR,"Türkiye, Rep of",2004-01-01,60.9
