Country Code,Country,Date,Producer_Price_Inflation
KOR,"Korea, Rep.",1975-01-01,26.5
LUX,Luxembourg,1975-01-01,-3.3
NLD,Netherlands,1975-01-01,6.0
NZL,New Zealand,1975-01-01,13.2
SGP,Singapore,1975-01-01,-3.0
SWE,Sweden,1975-01-01,6.6
THA,Thailand,1975-01-01,3.7
TWN,"Taiwan, China",1975-01-01,-5.1
URY,Uruguay,1975-01-01,72.4
USA,United States,1975-01-01,9.2
ZAF,South Africa,1975-01-01,16.4
ZMB,Zambia,1975-01-01,16.1
AUS,Australia,1976-01-01,11.3
BEL,Belgium,1976-01-01,7.1
CAF,Central African Republic,1976-01-01,4.8
CAN,Canada,1976-01-01,5.1
CHE,Switzerland,1976-01-01,-1.0
COG,"Congo, Rep.",1976-01-01,13.5
COL,Colombia,1976-01-01,22.9
DEU,Germany,1976-01-01,3.7
DNK,Denmark,1976-01-01,8.2
ESP,Spain,1976-01-01,13.3
FIN,Finland,1976-01-01,8.2
GAB,Gabon,1976-01-01,17.3
GBR,United Kingdom,1976-01-01,16.5
GTM,Guatemala,1976-01-01,10.5
IND,India,1976-01-01,-2.0
IRL,Ireland,1976-01-01,18.4
ITA,Italy,1976-01-01,33.0
JPN,Japan,1976-01-01,5.5
KOR,"Korea, Rep.",1976-01-01,12.1
NLD,Netherlands,1976-01-01,6.9
NZL,New Zealand,1976-01-01,22.2
SGP,Singapore,1976-01-01,6.7
SWE,Sweden,1976-01-01,8.9
THA,Thailand,1976-01-01,3.9
TWN,"Taiwan, China",1976-01-01,2.8
URY,Uruguay,1976-01-01,50.6
USA,United States,1976-01-01,4.6
ZAF,South Africa,1976-01-01,13.1
ZMB,Zambia,1976-01-01,16.7
AUS,Australia,1977-01-01,10.2
AUT,Austria,1977-01-01,-1.4
BEL,Belgium,1977-01-01,2.4
CAF,Central African Republic,1977-01-01,7.8
CAN,Canada,1977-01-01,7.8
CHE,Switzerland,1977-01-01,-0.1
COL,Colombia,1977-01-01,26.7
DEU,Germany,1977-01-01,2.8
DNK,Denmark,1977-01-01,7.9
ESP,Spain,1977-01-01,20.2
FIN,Finland,1977-01-01,10.1
GAB,Gabon,1977-01-01,14.4
GBR,United Kingdom,1977-01-01,18.9
GTM,Guatemala,1977-01-01,13.0
IND,India,1977-01-01,7.4
IRL,Ireland,1977-01-01,17.8
ITA,Italy,1977-01-01,-22.0
JPN,Japan,1977-01-01,3.3
KOR,"Korea, Rep.",1977-01-01,9.0
NLD,Netherlands,1977-01-01,5.5
NZL,New Zealand,1977-01-01,16.4
SGP,Singapore,1977-01-01,5.0
SWE,Sweden,1977-01-01,9.5
THA,Thailand,1977-01-01,7.8
TWN,"Taiwan, China",1977-01-01,2.8
URY,Uruguay,1977-01-01,50.3
USA,United States,1977-01-01,6.1
ZAF,South Africa,1977-01-01,14.2
ZMB,Zambia,1977-01-01,26.2
AUS,Australia,1978-01-01,8.2
BEL,Belgium,1978-01-01,-1.9
CAF,Central African Republic,1978-01-01,7.6
CAN,Canada,1978-01-01,9.2
CHE,Switzerland,1978-01-01,-1.4
COL,Colombia,1978-01-01,17.6
DEU,Germany,1978-01-01,1.1
DNK,Denmark,1978-01-01,4.4
ESP,Spain,1978-01-01,16.4
FIN,Finland,1978-01-01,5.6
GAB,Gabon,1978-01-01,8.9
GBR,United Kingdom,1978-01-01,9.0
GTM,Guatemala,1978-01-01,3.6
IND,India,1978-01-01,-0.3
IRL,Ireland,1978-01-01,9.0
ISR,Israel,1978-01-01,53.2
ITA,Italy,1978-01-01,-23.8
JPN,Japan,1978-01-01,-0.5
KOR,"Korea, Rep.",1978-01-01,11.7
NLD,Netherlands,1978-01-01,1.5
NOR,Norway,1978-01-01,4.0
NZL,New Zealand,1978-01-01,11.5
SGP,Singapore,1978-01-01,-1.7
SWE,Sweden,1978-01-01,8.0
THA,Thailand,1978-01-01,7.5
TWN,"Taiwan, China",1978-01-01,3.5
URY,Uruguay,1978-01-01,48.6
USA,United States,1978-01-01,7.8
ZAF,South Africa,1978-01-01,9.7
ZMB,Zambia,1978-01-01,18.9
AUS,Australia,1979-01-01,14.8
BEL,Belgium,1979-01-01,6.3
CAF,Central African Republic,1979-01-01,13.8
CAN,Canada,1979-01-01,14.5
CHE,Switzerland,1979-01-01,1.9
COG,"Congo, Rep.",1979-01-01,8.4
COL,Colombia,1979-01-01,27.8
DEU,Germany,1979-01-01,4.8
DNK,Denmark,1979-01-01,8.9
ESP,Spain,1979-01-01,14.5
FIN,Finland,1979-01-01,9.7
FRA,France,1979-01-01,-14.9
GAB,Gabon,1979-01-01,5.9
GBR,United Kingdom,1979-01-01,11.8
GTM,Guatemala,1979-01-01,10.2
HUN,Hungary,1979-01-01,2.1
IND,India,1979-01-01,11.7
IRL,Ireland,1979-01-01,11.9
ISR,Israel,1979-01-01,79.1
ITA,Italy,1979-01-01,18.2
JPN,Japan,1979-01-01,5.0
KOR,"Korea, Rep.",1979-01-01,18.7
NLD,Netherlands,1979-01-01,2.6
NOR,Norway,1979-01-01,7.2
NZL,New Zealand,1979-01-01,17.8
SGP,Singapore,1979-01-01,18.7
SWE,Sweden,1979-01-01,11.9
THA,Thailand,1979-01-01,11.2
TWN,"Taiwan, China",1979-01-01,13.8
URY,Uruguay,1979-01-01,80.4
USA,United States,1979-01-01,12.5
ZAF,South Africa,1979-01-01,13.1
ZMB,Zambia,1979-01-01,17.5
AUS,Australia,1980-01-01,14.0
BEL,Belgium,1980-01-01,5.8
CAF,Central African Republic,1980-01-01,16.1
CAN,Canada,1980-01-01,13.4
CHE,Switzerland,1980-01-01,4.5
COG,"Congo, Rep.",1980-01-01,14.6
COL,Colombia,1980-01-01,24.2
DEU,Germany,1980-01-01,7.6
