Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Note
CHE,146,Switzerland,Inflation,Producer Price Inflation,3.7,4.0,4.1,8.5,14.0,1.2,-1.0,-0.1,-1.4,1.9,4.5,5.6,3.7,1.1,2.9,2.0,-1.3,-0.7,2.1,3.2,2.3,1.3,0.7,0.4,-0.5,-0.1,-1.8,-0.7,-1.2,-1.0,0.9,0.5,-0.5,-0.7,0.7,1.1,2.0,2.3,3.0,-1.5,-0.2,-1.2,-0.5,0.2,-0.8,-3.6,-1.5,-0.5,1.4,-0.3,-0.6,1.2,3.9,1.9," Producer Price Index, All Commodities"
CHL,228,Chile,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,17.3,6.7,10.5,5.7,23.0,12.2,-6.6,-3.9,-7.8,-1.2,-0.7,9.7,4.9,1.9,2.3,11.5,24.0,-4.5," Producer Price Index, All Commodities"
CHN,924,China,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-4.3,-2.9,2.7,-1.3,-2.3,2.3,6.1,5.3,3.6,3.3,7.3,-5.1,6.3,6.4,-1.7,-1.9,-1.9,-5.2,-1.0,6.3,3.6,-0.5,-1.8,1.6,8.7,," Producer Price Index, All Commodities"
COG,634,"Congo, Rep.",Inflation,Producer Price Inflation,6.6,0.7,12.8,5.3,15.3,14.0,13.5,,,8.4,14.6,13.3,15.0,7.7,14.5,6.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Producer Price Index, All Commodities"
COL,233,Colombia,Inflation,Producer Price Inflation,8.2,11.5,18.3,28.0,36.0,25.4,22.9,26.7,17.6,27.8,24.2,24.1,25.7,21.7,18.3,24.9,22.0,24.9,28.3,28.2,26.6,27.6,20.1,14.2,17.2,18.1,15.0,15.4,17.3,9.8,13.2,9.4,5.3,9.1,5.2,3.1,4.2,1.0,7.2,1.9,-0.9,8.8,-0.1,-1.3,2.9,3.9,5.4,0.9,5.1,4.3,3.2,8.7,29.6,," Producer Price Index, All Commodities"
CRI,238,Costa Rica,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,18.4,5.2,13.1,23.9,16.0,11.6,8.8,10.1,11.6,8.9,7.7,11.7,16.7,15.3,13.9,13.9,25.4,1.7,3.0,9.5,3.8,2.5,4.5,1.3,-1.1,2.3,3.3,2.6,0.1,2.7,8.9,-2.2," Producer Price Index, All Commodities"
CYP,423,Cyprus,Inflation,Producer Price Inflation,16.0,,,,,,,,,,,,,,,,,,,,-11.2,17.2,,,30.5,,,,,,,2.2,2.2,3.2,4.0,5.2,5.1,3.3,10.9,-1.7,3.7,5.0,6.9,-2.1,-2.8,-5.1,-4.1,3.1,2.3,2.5,-2.5,6.6,22.8,5.0," Producer Price Index, All Commodities"
CZE,935,Czech Republic,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,9.2,2.5,6.2,4.8,4.9,4.8,1.0,4.9,2.8,-0.5,-0.3,5.7,3.0,1.6,4.2,4.2,-3.1,1.2,5.5,2.2,0.8,-0.8,-3.2,-3.3,1.8,2.0,2.6,0.1,5.8,24.3,5.0," Producer Price Index, All Commodities"
DEU,134,Germany,Inflation,Producer Price Inflation,4.9,4.2,2.6,6.6,13.4,4.6,3.7,2.8,1.1,4.8,7.6,7.8,5.9,1.5,2.9,2.4,-2.5,-2.5,1.3,3.2,1.7,2.4,1.4,0.2,0.6,1.7,-1.2,1.2,-0.4,-1.0,4.3,5.7,-1.8,3.0,1.2,3.2,4.0,1.2,4.1,-3.3,1.8,4.1,1.7,-0.2,-0.5,-0.5,-1.2,1.9,1.9,0.9,-0.8,7.5,23.9,-1.0," Producer Price Index, All Commodities"
DNK,128,Denmark,Inflation,Producer Price Inflation,7.9,3.5,5.8,14.7,21.7,5.7,8.2,7.9,4.4,8.9,16.7,15.7,10.7,5.0,7.5,2.7,-6.8,-0.2,3.9,5.7,1.1,0.9,-1.1,-0.5,1.2,2.9,1.1,1.9,-0.5,0.5,6.3,3.9,1.9,-0.4,2.4,7.9,7.5,1.9,12.7,-10.4,7.4,8.6,2.3,1.6,-1.0,-3.7,-1.4,2.5,4.3,-0.6,-2.7,13.6,28.9,-0.3," Producer Price Index, All Commodities"
DZA,612,Algeria,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,3.5,2.0,4.2,3.0,3.8,4.4,3.5,2.4,3.1,9.3,3.4,3.1,2.1,2.7,0.2,1.0,2.2,4.1,1.9,4.1,2.6,,7.4,,," Producer Price Index, All Commodities"
ECU,248,Ecuador,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,119.1,17.3,4.8,2.9,5.4,4.2,3.1,7.8,11.8,-0.4,6.1,5.5,2.8,1.2,3.9,2.0,0.1,-0.7,1.3,-0.1,-1.0,0.9,6.7,," Producer Price Index, All Commodities"
EGY,469,"Egypt, Arab Rep.",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,21.1,-5.6,12.7,14.7,2.4,3.3,4.3,-3.1,13.8,33.2,24.1,5.0,-7.0,17.3,25.8,26.6," Producer Price Index, All Commodities"
ESP,184,Spain,Inflation,Producer Price Inflation,,,,51.7,16.4,9.1,13.3,20.2,16.4,14.5,17.4,15.7,12.4,14.0,12.2,8.0,0.9,0.8,3.0,4.2,2.1,1.5,1.3,2.5,4.3,6.4,1.7,1.0,-0.7,0.7,5.4,1.7,0.3,0.7,3.2,4.5,5.1,3.2,5.7,-3.3,4.0,6.5,3.4,-0.1,-1.5,-1.5,-2.7,4.2,2.4,-0.3,-3.6,14.8,34.6,-3.1," Producer Price Index, All Commodities"
EST,939,Estonia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,14.8,8.8,4.2,-1.2,5.3,3.5,-0.2,0.2,2.9,2.1,4.4,8.3,7.0,-0.6,3.3,4.4,2.3,4.1,-1.6,-2.0,-0.7,3.6,2.6,-0.2,-2.4,12.5,27.0,0.9," Producer Price Index, All Commodities"
ETH,644,Ethiopia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,-2.0,,,,,,3.0,10.6,4.4,,,,,," Producer Price Index, All Commodities"
FIN,172,Finland,Inflation,Producer Price Inflation,4.4,5.0,8.4,17.5,24.3,11.7,8.2,10.1,5.6,9.7,16.4,13.5,7.5,5.8,5.4,4.5,-5.2,0.9,4.1,5.2,3.3,0.3,1.1,3.0,1.4,1.2,-0.9,1.6,-1.5,-0.2,7.2,-0.4,-1.2,-0.1,1.6,3.8,5.7,4.0,5.6,-6.4,4.2,5.6,1.4,-0.4,-1.0,-2.0,-2.3,3.6,4.7,0.3,-4.6,12.7,24.2,-3.9," Producer Price Index, All Commodities"
FRA,132,France,Inflation,Producer Price Inflation,1.4,-19.7,,,,-4.9,,,,-14.9,,,,,26.8,,,,,,,,,,,,,,1.0,,5.1,2.2,0.5,0.6,1.9,3.0,3.2,2.1,4.6,-4.7,2.5,4.6,2.3,0.0,-1.3,-1.6,-2.2,2.4,2.4,0.5,-1.9,8.7,23.1,2.8," Producer Price Index, All Commodities"
GAB,646,Gabon,Inflation,Producer Price Inflation,11.3,4.0,4.9,7.2,22.5,15.0,17.3,14.4,8.9,5.9,15.7,10.3,14.7,8.0,7.3,11.8,-1.8,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Producer Price Index, All Commodities"
GBR,112,United Kingdom,Inflation,Producer Price Inflation,7.1,9.0,5.2,7.5,22.3,22.9,16.5,18.9,9.0,11.8,15.9,10.7,8.5,6.5,5.9,6.2,1.3,3.4,3.7,4.8,6.2,5.3,3.1,4.0,2.5,4.0,2.7,1.0,0.1,0.5,0.4,0.1,-0.4,0.2,2.6,7.9,6.4,1.6,14.7,-0.6,4.8,9.1,2.4,3.3,-7.4,-6.6,2.0,6.1,3.7,0.8,-0.1,5.0,18.5,," Producer Price Index, All Commodities"
GEO,915,Georgia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,5.8,3.1,6.3,3.3,4.6,7.5,10.8,11.6,9.8,-5.5,11.3,12.8,1.6,-2.0,2.9,7.5,-0.1,11.0,6.1,7.2,11.8,16.7,14.5,-2.9," Producer Price Index, All Commodities"
GHA,652,Ghana,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,15.5,18.6,18.5,17.1,9.3,36.0,12.8,10.9,5.5,6.4,8.1,9.0,10.8,,," Producer Price Index, All Commodities"
GMB,648,"Gambia, The",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,6.7,2.8,3.7,,,4.2,2.0,2.2,6.2,1.1,14.2,16.4,5.2," Producer Price Index, All Commodities"
GRC,174,Greece,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,3.5,,,,,4.8,,,-13.8,31.4,5.7,3.4,2.9,2.4,5.3,1.3,0.2,-1.2,7.7,6.0,6.1,2.3,8.1,-5.5,7.1,8.9,3.7,-0.5,-3.5,-4.9,-1.4,8.5,5.2,1.0,5.3,13.7,35.1,-7.1," Producer Price Index, All Commodities"
GTM,258,Guatemala,Inflation,Producer Price Inflation,2.4,2.1,-0.7,14.3,22.8,12.3,10.5,13.0,3.6,10.2,16.1,11.7,-6.1,1.2,5.6,23.3,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Producer Price Index, All Commodities"
HKG,532,"Hong Kong SAR, China",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,3.5,1.9,0.7,2.1,2.9,-0.2,-0.3,-1.8,-1.5,0.2,-1.5,-2.7,-0.3,2.2,0.8,2.3,3.0,5.6,-1.7,6.0,8.3,0.1,-3.1,-1.7,-2.8,1.3,3.8,2.0,1.0,1.0,1.2,0.8,," Producer Price Index, All Commodities"
HRV,960,Croatia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,1510.2,77.7,0.8,2.0,1.2,-0.8,2.6,8.2,-0.4,-0.4,1.3,3.4,4.3,1.5,3.7,6.8,-2.3,4.2,7.1,5.3,-0.2,-2.5,-3.7,-4.0,2.0,2.1,0.7,-3.3,8.0,20.0,3.9," Producer Price Index, All Commodities"
HUN,944,Hungary,Inflation,Producer Price Inflation,,,,,,,,,,2.1,15.4,6.3,4.8,4.6,5.3,4.9,6.9,2.9,5.4,15.0,21.5,34.4,10.0,13.9,12.3,28.5,21.8,20.3,11.4,5.0,11.5,6.0,-0.2,1.8,4.0,4.2,7.4,0.8,5.6,4.5,3.7,4.2,4.1,0.8,-0.4,-0.9,-1.7,3.3,5.5,2.1,4.2,13.5,33.4,5.8," Producer Price Index, All Commodities"
IND,534,India,Inflation,Producer Price Inflation,6.3,5.4,8.5,16.5,28.4,4.1,-2.0,7.4,-0.3,11.7,20.1,12.3,2.4,7.7,8.5,6.0,5.2,6.4,7.2,6.3,9.1,13.5,11.9,7.5,11.9,10.2,4.5,4.5,5.9,3.5,6.2,5.2,2.4,5.3,6.2,4.6,6.0,4.9,8.7,2.4,9.6,9.4,7.3,5.4,3.4,-3.9,-0.1,3.4,4.3,1.9,0.5,10.8,12.2,3.3," Producer Price Index, All Commodities"
IRL,178,Ireland,Inflation,Producer Price Inflation,5.5,5.3,10.7,18.4,11.7,26.0,18.4,17.8,9.0,11.9,10.9,16.7,11.8,6.6,7.4,4.0,0.0,2.4,4.1,4.8,-1.6,0.9,1.6,4.6,1.1,2.6,0.6,-0.6,0.9,0.9,6.2,1.7,-1.1,-8.1,-2.4,-0.5,0.8,-2.0,-1.4,0.4,-0.3,0.7,1.8,-0.4,-1.3,5.4,-1.2,-0.2,-1.8,-1.5,-8.7,-0.9,8.7,-4.1," Producer Price Index, All Commodities"
IRN,429,"Iran, Islamic Rep.",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,28.7,22.3,29.9,47.1,31.8,16.9,17.6,21.9,18.7,11.7,11.9,16.0,16.4,11.2,9.5,14.7,20.6,9.1,10.4,37.9,24.7,37.3,17.2,7.0,3.5,9.7,30.6,,,,,35.3," Producer Price Index, All Commodities"
ISL,176,Iceland,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,,1.8,31.0,11.3,11.8,9.2,1.0,-4.4,-0.7,5.1,-8.1,-4.6,6.8,4.9,23.1,11.5,17.3,," Producer Price Index, All Commodities"
ISR,436,Israel,Inflation,Producer Price Inflation,,,,,,,,,53.2,79.1,135.1,122.7,125.7,144.5,396.5,266.1,45.1,18.5,17.6,21.0,11.6,16.0,10.2,8.2,7.9,10.7,8.6,6.3,4.2,7.1,3.6,-0.1,3.9,4.3,5.4,6.2,5.7,3.5,9.6,-6.3,4.0,7.8,4.3,0.4,-1.4,-5.9,-3.6,1.4,3.3,-1.1,-4.9,6.8,13.1,1.0," Producer Price Index, All Commodities"
ITA,136,Italy,Inflation,Producer Price Inflation,25.1,,,,,68.2,33.0,-22.0,-23.8,18.2,45.6,-51.6,13.1,11.0,10.3,7.7,0.2,3.0,3.5,5.9,4.1,3.3,1.9,3.8,3.7,7.9,1.9,1.3,0.1,-0.3,5.1,1.7,0.1,0.9,2.3,3.5,4.5,3.0,5.1,-4.7,2.9,4.8,3.6,-1.1,-1.4,-2.7,-1.9,2.3,3.3,0.2,56.1,6.2,42.8,-5.6," Producer Price Index, All Commodities"
JAM,343,Jamaica,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,13.5,23.6,9.1,8.6,13.7,7.6,8.5,7.9,-2.8,-0.5,7.0,7.3,3.1,1.0,12.9,20.1,," Producer Price Index, All Commodities"
JOR,439,Jordan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,6.0,9.5,15.8,9.1,56.2,-16.7,-2.4,14.7,4.7,-2.6,-1.7,-9.9,-8.8,4.1,7.5,-1.5,-7.5,12.5,14.0,," Producer Price Index, All Commodities"
JPN,158,Japan,Inflation,Producer Price Inflation,3.4,-0.8,1.6,15.7,27.5,2.8,5.5,3.3,-0.5,5.0,14.9,1.4,0.4,-0.6,0.1,-0.8,-4.7,-3.1,-0.5,1.9,1.5,1.0,-0.9,-1.6,-1.6,-0.8,-1.7,0.7,-1.5,-1.5,0.0,-2.3,-2.1,-0.8,1.3,1.7,2.2,1.7,4.6,-5.3,-0.6,1.4,-0.9,1.2,3.2,-2.3,-3.5,2.3,2.5,4.1,3.0,4.8,8.4,4.4," Producer Price Index, All Commodities"
KAZ,916,Kazakhstan,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,139.7,23.7,15.5,0.8,18.9,38.0,0.3,0.2,9.3,16.7,23.7,18.4,12.4,36.8,-22.1,25.2,27.2,3.5,-0.3,9.5,-20.5,16.8,15.3,19.0,5.1,-7.9,32.5,29.8,," Producer Price Index, All Commodities"
KEN,664,Kenya,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.2,0.1,7.4,,," Producer Price Index, All Commodities"
KGZ,917,Kyrgyz Republic,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,215.3,21.8,23.0,26.3,7.9,53.7,29.1,9.1,5.3,5.6,8.8,3.1,15.9,11.8,25.3,11.3,23.1,21.8,-2.1,-6.1,0.2,9.1,6.4,1.7,1.5,4.3,20.8,12.0,4.7,," Producer Price Index, All Commodities"
KOR,542,"Korea, Rep.",Inflation,Producer Price Inflation,9.2,8.6,13.9,7.0,42.1,26.5,12.1,9.0,11.7,18.7,39.0,20.4,4.7,0.2,0.7,0.9,-1.5,0.4,2.7,1.5,4.2,4.7,2.2,1.5,2.7,4.7,3.2,3.8,12.2,-2.1,2.1,-7.8,0.2,-1.2,7.7,6.0,6.1,2.3,8.1,-5.5,7.1,8.9,3.7,-0.5,-3.5,-4.9,-1.4,8.5,5.2,1.0,-0.5,6.4,8.8,," Producer Price Index, All Commodities"
KWT,443,Kuwait,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,2.4,3.0,1.3,3.1,1.3,0.6,-30.6,54.7,42.2,-13.0," Producer Price Index, All Commodities"
LKA,524,Sri Lanka,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,1.7,17.0,6.3,2.9,5.7,10.9,73.3,18.1," Producer Price Index, All Commodities"
LTU,946,Lithuania,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,392.9,44.7,28.3,17.3,4.2,-7.4,-11.2,19.4,-2.9,-2.7,-0.6,5.9,11.6,7.4,6.9,18.2,-13.5,10.3,13.9,5.0,-2.4,-4.9,-9.6,-4.4,5.1,5.6,-0.1,-8.9,9.6,25.9,-2.3," Producer Price Index, All Commodities"
