Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Note
COL,233,Colombia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,7.4,11.9,8.7,15.5,22.1,19.5,17.1,13.6,7.7,7.7,5.8,6.4,5.7,4.6,3.7,5.8,5.6,4.7,2.8,2.9,3.3,2.5,2.8,4.2,6.6,5.1,3.3,3.4,2.2,2.1,6.5,10.0,All Items Excluding Food and Energy
CRI,238,Costa Rica,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,13.4,11.4,10.6,10.9,10.6,8.8,9.8,9.5,10.4,10.8,7.9,12.5,9.8,5.1,4.6,4.6,5.3,4.3,1.8,0.1,1.2,2.1,2.4,1.3,0.9,4.5,1.0,All Items Excluding Food and Energy
CYP,423,Cyprus,Inflation,Official Core Consumer Price Inflation,5.1,4.5,3.1,13.3,,,,,,,,,-13.7,,,,,,,,-5.5,9.6,,,11.2,-22.2,,2.5,3.1,1.5,2.8,1.6,2.1,3.1,0.8,0.8,0.8,1.7,2.7,2.1,0.4,1.8,1.7,0.4,0.2,-0.3,-0.7,0.0,0.1,0.6,-0.6,1.0,5.3,4.4,All Items Excluding Food and Energy
CZE,935,Czech Republic,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.6,7.9,0.0,1.9,2.5,0.6,0.0,1.5,0.5,0.7,1.5,2.1,-0.8,0.1,1.1,0.8,0.1,0.8,0.2,0.5,2.6,1.9,2.2,3.6,5.0,12.2,6.2,All Items Excluding Food and Energy
DEU,134,Germany,Inflation,Official Core Consumer Price Inflation,3.6,5.5,5.5,6.4,6.8,5.7,4.0,3.7,3.0,3.3,5.3,5.8,4.8,3.8,2.5,2.1,0.8,1.2,1.8,2.7,2.5,3.9,5.6,5.4,2.8,2.0,1.6,2.0,1.2,0.6,0.8,0.8,1.6,0.9,1.7,1.1,1.1,1.9,1.4,1.3,0.7,0.9,1.3,1.3,1.4,1.7,1.2,1.2,1.3,1.5,1.0,2.1,3.9,5.0,All Items Excluding Food and Energy
DJI,611,Djibouti,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,-5.9,4.5,3.6,5.7,9.2,4.1,-19.2,-0.8,-0.6,10.5,-7.6,1.7,-8.2,,,,,,,,,,,,,,,,2.0,-2.6,0.2,-0.3,0.1,1.8,-0.3,,,All Items Excluding Food and Energy
DNK,128,Denmark,Inflation,Official Core Consumer Price Inflation,-5.9,5.6,6.4,16.4,14.0,9.6,34.7,10.5,10.6,8.9,10.4,10.2,9.8,8.1,6.5,-2.0,-1.6,-14.0,5.2,4.7,3.4,3.0,2.5,1.8,2.0,1.9,1.8,1.9,1.6,2.5,2.2,2.2,2.5,2.3,1.3,1.4,1.4,1.4,13.5,2.3,1.8,1.8,1.9,1.2,0.9,-19.1,2.1,14.5,0.6,0.8,0.9,1.2,4.0,4.3,All Items Excluding Food and Energy
DOM,243,Dominican Republic,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4.8,23.7,47.1,4.9,5.1,4.6,7.2,5.2,3.5,5.5,3.7,4.9,3.2,2.2,1.7,2.2,2.6,2.1,3.6,5.9,7.0,5.3,All Items Excluding Food and Energy
EGY,469,"Egypt, Arab Rep.",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,7.9,18.9,8.5,7.0,8.3,6.2,9.0,9.2,6.9,13.4,30.6,10.1,5.7,2.3,4.4,15.0,38.3,All Items Excluding unprocessed food and energy
ESP,184,Spain,Inflation,Official Core Consumer Price Inflation,,,,,9.3,,14.9,26.4,21.6,19.1,15.6,12.5,14.7,12.3,10.7,9.2,10.3,6.6,6.1,6.8,6.7,7.0,6.9,5.9,4.4,4.5,3.5,2.6,2.6,2.5,2.9,3.5,2.8,2.9,2.4,2.5,2.8,2.4,2.3,0.8,0.6,1.3,1.2,1.1,0.0,0.5,0.8,1.1,0.9,1.0,0.6,0.6,3.7,4.4,All Items Excluding Food and Energy
EST,939,Estonia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,5.8,3.9,4.1,2.9,2.4,1.2,1.9,3.3,5.4,6.5,1.9,0.8,2.3,2.2,1.4,1.0,1.4,1.3,2.1,2.3,2.1,0.1,2.8,9.7,8.4,All Items Excluding Food and Energy
ETH,644,Ethiopia,Inflation,Official Core Consumer Price Inflation,1.2,5.1,2.9,5.2,9.8,5.3,5.5,7.9,11.1,8.5,12.3,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All Items Excluding Food and Energy
FIN,172,Finland,Inflation,Official Core Consumer Price Inflation,2.5,6.3,6.2,10.5,14.9,17.5,14.4,10.5,8.9,8.3,10.3,10.2,9.0,9.3,7.7,4.9,3.5,4.6,6.5,7.5,6.5,4.8,3.6,2.2,1.5,2.9,0.3,1.1,1.6,1.2,2.6,2.6,1.5,0.6,-0.2,0.2,1.3,2.6,2.5,0.4,1.2,2.0,2.3,1.0,1.5,0.6,1.0,0.7,0.7,0.8,0.5,1.7,4.2,6.6,All Items Excluding Food and Energy
FRA,132,France,Inflation,Official Core Consumer Price Inflation,-1.1,-17.6,6.0,7.1,12.2,-1.8,9.2,8.5,9.4,-15.1,13.1,12.5,11.3,9.5,23.6,5.7,4.2,4.0,3.1,3.2,3.1,3.4,3.2,2.6,1.9,1.9,1.9,1.1,2.1,0.3,0.8,-21.8,1.8,2.1,2.2,1.5,1.3,-11.3,14.6,-11.7,17.0,1.1,1.3,0.9,1.0,0.6,0.4,8.9,1.0,0.7,1.0,1.0,2.8,3.4,All Items Excluding Food and Energy
GBR,112,United Kingdom,Inflation,Official Core Consumer Price Inflation,-3.4,9.1,6.8,8.6,13.8,22.1,15.5,15.5,9.6,13.2,18.2,11.1,8.2,4.4,5.2,6.9,4.5,4.8,5.6,8.3,9.7,5.8,4.1,1.4,2.5,3.3,2.1,1.9,1.4,0.7,0.1,1.1,1.5,1.3,1.1,1.4,1.7,1.9,1.9,1.6,2.0,2.8,2.1,1.9,1.6,1.3,1.6,2.3,1.9,1.7,1.5,2.3,5.3,5.9,All Items Excluding ex Reg Pr & Fuel for Veh & Home
GHA,652,Ghana,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,23.8,22.2,16.5,12.3,,,,,,All Items Excluding Food and Energy
GRC,174,Greece,Inflation,Official Core Consumer Price Inflation,9.4,2.7,4.6,15.4,24.1,14.3,12.7,11.8,12.0,19.3,23.7,22.7,20.9,20.9,18.5,19.3,1.6,17.6,14.3,12.8,18.5,7.7,16.8,16.0,-12.5,30.3,8.6,7.3,6.0,3.6,2.2,3.3,3.4,5.9,3.2,3.2,2.4,2.7,6.9,2.2,3.4,1.9,0.2,-2.0,-1.2,-1.0,-1.1,0.5,22.3,-2.4,-0.7,-0.6,3.3,5.0,All Items Excluding Food and Energy
GTM,258,Guatemala,Inflation,Official Core Consumer Price Inflation,-3.4,10.9,0.6,6.0,27.0,14.0,9.8,3.2,1.6,15.2,19.0,10.1,3.2,5.5,4.7,20.5,11.8,,,,,,,,,,,,,,,,6.8,4.7,5.7,6.7,5.1,4.9,8.1,2.7,2.5,4.7,3.9,3.8,3.2,3.2,3.1,3.0,2.7,3.0,2.4,3.0,4.3,4.5,All Items Excluding Food and Energy
HKG,532,"Hong Kong SAR, China",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.5,2.7,1.8,0.7,5.0,3.9,4.3,4.2,2.6,2.1,1.3,1.9,2.3,-0.2,0.6,0.7,1.5,All Items Excluding Food and Energy
HND,268,Honduras,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,7.7,7.6,7.9,6.0,6.6,9.9,7.2,4.0,5.6,6.1,5.7,5.9,4.8,3.6,4.0,3.8,4.0,4.0,4.6,8.0,6.6,All Items Excluding Food and Energy
HRV,960,Croatia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,2.8,3.2,2.9,1.8,2.3,2.0,3.5,3.2,3.4,3.6,0.5,0.6,1.0,1.0,0.4,0.7,0.1,0.7,0.9,0.9,1.0,1.6,9.1,7.6,All Items Excluding Food and Energy
HUN,944,Hungary,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,35.8,24.9,21.0,18.3,26.6,22.9,16.5,13.4,9.4,8.2,9.4,5.8,4.5,5.7,2.1,2.2,5.3,5.1,4.1,3.0,2.7,5.1,3.3,2.2,1.2,1.4,2.3,2.5,3.8,3.0,4.5,10.2,13.8,All Items Excluding Food and Energy
IDN,536,Indonesia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.0,4.6,4.3,4.2,4.5,4.9,3.4,3.1,2.8,3.0,2.3,1.4,2.8,2.4,All Items Excluding unprocessed food and energy
IND,534,India,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,7.6,6.4,5.2,5.0,4.4,5.7,4.7,4.6,5.9,6.1,5.0,All Items Excluding Food and Energy
IRL,178,Ireland,Inflation,Official Core Consumer Price Inflation,,,,,,,18.4,12.6,7.7,12.7,19.5,21.3,18.6,11.2,-23.8,5.8,4.6,3.6,2.2,3.9,3.8,3.9,3.8,41.2,2.2,2.6,-3.8,1.4,2.2,1.3,5.7,-11.0,17.0,3.9,2.4,2.5,4.2,5.9,3.3,-4.3,-1.2,26.6,-2.2,0.7,0.9,-12.6,1.0,0.3,0.1,1.1,0.3,1.8,4.7,5.9,All Items Excluding Food and Energy
IRN,429,"Iran, Islamic Rep.",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.1,,,,,,,,,,,33.3,17.7,12.2,7.1,6.0,17.2,33.8,33.1,37.2,35.9,41.8,All Items Excluding Food and Energy
IRQ,433,Iraq,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,31.7,19.3,13.0,5.1,2.9,6.5,5.6,2.4,1.6,1.7,-0.2,0.4,0.1,-0.1,1.0,6.4,4.8,4.6,All Items Excluding Food and Energy
ISL,176,Iceland,Inflation,Official Core Consumer Price Inflation,,,,,,-42.7,84.4,,,,,,,,,-1.2,,,,,,,,3.7,2.5,1.5,1.9,1.1,1.9,3.3,4.7,6.5,6.2,3.0,3.2,5.1,6.3,6.6,11.4,11.4,4.7,2.6,4.6,4.1,2.7,2.1,2.2,2.4,2.5,2.9,2.9,4.4,7.8,8.4,All Items Excluding Fruits & Veg & Regulated Items
